source_project,target_project,scenario,best_epoch,wall_time_sec,ref_top1,ref_top5,ref_top10,ref_MAP,ref_MRR,full_top1,full_top5,full_top10,full_MAP,full_MRR,res_top1,res_top5,res_top10,res_MAP,res_MRR,n_test,n_gt_files,n_gt_files_in_top300
prefecthq/prefect,pydata/xarray,CP-cold-start,9,1501.2,0.2,0.36,0.52,0.2373,0.2913,0.2,0.48,0.56,0.3173,0.3424,0.2,0.48,0.56,0.3173,0.3424,25,37,37
prefecthq/prefect,scikit-learn/scikit-learn,CP-cold-start,9,2934.4,0.2609,0.5435,0.587,0.3755,0.3967,0.1739,0.5217,0.5652,0.3045,0.3167,0.1522,0.3261,0.4565,0.2339,0.2367,46,56,32
prefecthq/prefect,wagtail/wagtail,CP-cold-start,10,7168.5,0.122,0.3415,0.4512,0.176,0.2254,0.1707,0.3659,0.4634,0.194,0.2567,0.122,0.2195,0.2439,0.1394,0.1529,82,153,38
pydata/xarray,jupyterlab/jupyterlab,CP-cold-start,10,2876.3,0.275,0.475,0.6,0.3002,0.3755,0.2,0.5,0.6,0.2603,0.3178,0.1,0.275,0.275,0.1427,0.1647,40,89,17
pydata/xarray,lightning-ai/lightning,CP-cold-start,9,1386.2,0.2667,0.5333,0.68,0.3265,0.4021,0.28,0.4933,0.6,0.3048,0.4027,0.28,0.4933,0.6,0.305,0.4028,75,216,214
pydata/xarray,numpy/numpy,CP-cold-start,7,10062.8,0.2422,0.4534,0.5031,0.3163,0.3462,0.1863,0.3913,0.5031,0.2685,0.2918,0.1739,0.3354,0.4658,0.2474,0.2634,161,369,195
pydata/xarray,prefecthq/prefect,CP-cold-start,7,1589.0,0.122,0.4634,0.6585,0.2191,0.2828,0.0976,0.3537,0.5488,0.1866,0.2245,0.0976,0.2805,0.3902,0.1709,0.1878,82,281,141
pydata/xarray,scikit-learn/scikit-learn,CP-cold-start,5,2336.2,0.2826,0.5652,0.6087,0.3832,0.4084,0.3043,0.5,0.587,0.3785,0.3916,0.1739,0.3261,0.3913,0.2346,0.2425,46,56,32
qiskit/qiskit,jupyterlab/jupyterlab,CP-cold-start,9,5373.1,0.175,0.4,0.5,0.2272,0.2815,0.275,0.55,0.625,0.3019,0.3873,0.1,0.225,0.225,0.1185,0.1547,40,89,17
qiskit/qiskit,numpy/numpy,CP-cold-start,6,11844.6,0.1118,0.2671,0.4037,0.1766,0.1967,0.1242,0.323,0.4099,0.2088,0.2293,0.1304,0.3292,0.4224,0.2216,0.2305,161,369,195
lightning-ai/lightning,numpy/numpy,CP-cold-start,10,9930.8,0.1863,0.4224,0.528,0.2687,0.3003,0.2609,0.4783,0.5901,0.3244,0.3647,0.2671,0.4658,0.559,0.3296,0.353,161,369,195
lightning-ai/lightning,pydata/xarray,CP-cold-start,9,1479.1,0.12,0.4,0.56,0.247,0.2782,0.24,0.52,0.64,0.3166,0.3844,0.24,0.52,0.64,0.3166,0.3844,25,37,37
lightning-ai/lightning,scikit-learn/scikit-learn,CP-cold-start,10,2747.9,0.2609,0.5217,0.6522,0.3695,0.3922,0.2174,0.5,0.6087,0.3303,0.3544,0.1304,0.3261,0.4565,0.2243,0.2386,46,56,32
lightning-ai/lightning,wagtail/wagtail,CP-cold-start,10,6830.3,0.0366,0.1585,0.2317,0.0684,0.091,0.0732,0.1951,0.2317,0.1082,0.1396,0.0488,0.0854,0.1341,0.0756,0.0788,82,153,38
localstack/localstack,jupyterlab/jupyterlab,CP-cold-start,10,2601.7,0.125,0.25,0.325,0.1211,0.2041,0.125,0.325,0.375,0.1458,0.2015,0.05,0.075,0.1,0.0517,0.0677,40,89,17
scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-cold-start,10,2199.5,0.075,0.175,0.2,0.1089,0.1364,0.175,0.35,0.425,0.2117,0.2614,0.1,0.175,0.2,0.1124,0.135,40,89,17
scikit-learn/scikit-learn,lightning-ai/lightning,CP-cold-start,10,1065.1,0.2267,0.52,0.7067,0.2783,0.3682,0.1733,0.5333,0.6933,0.2779,0.3347,0.1733,0.5333,0.6933,0.2767,0.3337,75,216,214
scikit-learn/scikit-learn,numpy/numpy,CP-cold-start,10,7247.7,0.2981,0.528,0.6149,0.3692,0.4093,0.2919,0.4596,0.5776,0.3463,0.3834,0.2795,0.441,0.5031,0.3328,0.3543,161,369,195
scikit-learn/scikit-learn,prefecthq/prefect,CP-cold-start,10,1227.6,0.2195,0.4634,0.6098,0.2678,0.3467,0.1463,0.5488,0.6463,0.2757,0.3298,0.1341,0.4146,0.4878,0.2288,0.258,82,281,141
scikit-learn/scikit-learn,pydata/xarray,CP-cold-start,10,859.7,0.12,0.44,0.72,0.2626,0.2833,0.12,0.4,0.56,0.2359,0.2803,0.12,0.4,0.56,0.236,0.2803,25,37,37
wagtail/wagtail,docker/compose,CP-cold-start,9,885.8,0.1111,0.4103,0.5641,0.2228,0.2537,0.094,0.3761,0.5385,0.1954,0.2237,0.1111,0.4017,0.5641,0.2181,0.2464,117,259,259
wagtail/wagtail,jupyterlab/jupyterlab,CP-cold-start,9,2429.4,0.1,0.375,0.425,0.1861,0.2217,0.15,0.35,0.375,0.2052,0.2343,0.1,0.15,0.15,0.1096,0.129,40,89,17
