model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR
TRANP-CNN,scipy/scipy,numpy/numpy,CP-cold-start,0.0,0.0994,0.118,0.0777,0.0866
TRANP-CNN,scipy/scipy,numpy/numpy,CP-transfer,0.0186,0.1491,0.1863,0.1658,0.1799
TRANP-CNN,numpy/numpy,scipy/scipy,WP-small,0.0,0.0,0.0,0.0042,0.0042
TRANP-CNN,numpy/numpy,scipy/scipy,WP-large,0.0,0.0,0.0,0.0295,0.0295
TRANP-CNN,numpy/numpy,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.006,0.006
TRANP-CNN,numpy/numpy,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0241,0.0241
TRANP-CNN,scipy/scipy,open-mmlab/mmdetection,WP-small,0.0,0.0,0.0952,0.0444,0.044
TRANP-CNN,scipy/scipy,open-mmlab/mmdetection,WP-large,0.0,0.0952,0.1429,0.1007,0.1087
TRANP-CNN,scipy/scipy,open-mmlab/mmdetection,CP-cold-start,0.0,0.0,0.0,0.0064,0.0051
TRANP-CNN,scipy/scipy,open-mmlab/mmdetection,CP-transfer,0.0,0.1905,0.2381,0.1438,0.1833
TRANP-CNN,open-mmlab/mmdetection,scipy/scipy,WP-small,0.0,0.0,0.0,0.0042,0.0042
TRANP-CNN,open-mmlab/mmdetection,scipy/scipy,WP-large,0.0,0.0,0.0,0.0153,0.0153
TRANP-CNN,open-mmlab/mmdetection,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0141,0.0141
TRANP-CNN,open-mmlab/mmdetection,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0131,0.0131
TRANP-CNN,scipy/scipy,ray-project/ray,WP-small,0.0,0.0147,0.0294,0.027,0.0307
TRANP-CNN,scipy/scipy,ray-project/ray,WP-large,0.0294,0.1176,0.25,0.1431,0.1822
TRANP-CNN,scipy/scipy,ray-project/ray,CP-cold-start,0.0,0.0,0.0,0.0226,0.0227
TRANP-CNN,scipy/scipy,ray-project/ray,CP-transfer,0.0441,0.1176,0.2059,0.1829,0.2113
TRANP-CNN,ray-project/ray,scipy/scipy,WP-small,0.0,0.0,0.0,0.0076,0.0076
TRANP-CNN,ray-project/ray,scipy/scipy,WP-large,0.0,0.0,0.0,0.0171,0.0171
TRANP-CNN,ray-project/ray,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0102,0.0102
TRANP-CNN,ray-project/ray,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0147,0.0147
TRANP-CNN,scipy/scipy,google/jax,WP-small,0.114,0.5263,0.6754,0.2386,0.2929
TRANP-CNN,scipy/scipy,google/jax,WP-large,0.307,0.6316,0.7632,0.394,0.4747
TRANP-CNN,scipy/scipy,google/jax,CP-cold-start,0.0,0.0175,0.0263,0.0203,0.0197
TRANP-CNN,scipy/scipy,google/jax,CP-transfer,0.2544,0.5175,0.5877,0.335,0.4006
TRANP-CNN,google/jax,scipy/scipy,WP-small,0.0,0.0,0.0,0.004,0.004
TRANP-CNN,google/jax,scipy/scipy,WP-large,0.0,0.0,0.0,0.026,0.026
TRANP-CNN,google/jax,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0238,0.0238
TRANP-CNN,google/jax,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0158,0.0158
TRANP-CNN,scipy/scipy,jupyterlab/jupyterlab,WP-small,0.175,0.475,0.5,0.6076,0.6208
TRANP-CNN,scipy/scipy,jupyterlab/jupyterlab,WP-large,0.25,0.5,0.5,0.7054,0.7058
TRANP-CNN,scipy/scipy,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0045,0.0043
TRANP-CNN,scipy/scipy,jupyterlab/jupyterlab,CP-transfer,0.225,0.45,0.5,0.61,0.6208
TRANP-CNN,jupyterlab/jupyterlab,scipy/scipy,WP-small,0.0,0.0,0.0,0.0056,0.0056
TRANP-CNN,jupyterlab/jupyterlab,scipy/scipy,WP-large,0.0,0.0,0.0,0.0208,0.0208
TRANP-CNN,jupyterlab/jupyterlab,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0185,0.0185
TRANP-CNN,jupyterlab/jupyterlab,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0229,0.0229
TRANP-CNN,scipy/scipy,lightning-ai/lightning,WP-small,0.1733,0.5733,0.6533,0.2816,0.3672
TRANP-CNN,scipy/scipy,lightning-ai/lightning,WP-large,0.2533,0.5333,0.68,0.2846,0.3857
TRANP-CNN,scipy/scipy,lightning-ai/lightning,CP-cold-start,0.0,0.0,0.0,0.0171,0.0143
TRANP-CNN,scipy/scipy,lightning-ai/lightning,CP-transfer,0.1467,0.4667,0.6267,0.2508,0.2957
TRANP-CNN,lightning-ai/lightning,scipy/scipy,WP-small,0.0,0.0,0.0,0.0039,0.0039
TRANP-CNN,lightning-ai/lightning,scipy/scipy,WP-large,0.0,0.0,0.0,0.042,0.042
TRANP-CNN,lightning-ai/lightning,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0226,0.0226
TRANP-CNN,lightning-ai/lightning,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0133,0.0133
TRANP-CNN,scipy/scipy,prefecthq/prefect,WP-small,0.122,0.2317,0.2927,0.2815,0.3638
TRANP-CNN,scipy/scipy,prefecthq/prefect,WP-large,0.1098,0.2195,0.3537,0.2914,0.3365
TRANP-CNN,scipy/scipy,prefecthq/prefect,CP-cold-start,0.0,0.0,0.0,0.0167,0.0126
TRANP-CNN,scipy/scipy,prefecthq/prefect,CP-transfer,0.0366,0.1829,0.2195,0.1904,0.2282
TRANP-CNN,prefecthq/prefect,scipy/scipy,WP-small,0.0,0.0,0.0,0.0038,0.0038
TRANP-CNN,prefecthq/prefect,scipy/scipy,WP-large,0.0,0.0,0.0,0.0354,0.0354
TRANP-CNN,prefecthq/prefect,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0099,0.0099
TRANP-CNN,prefecthq/prefect,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0181,0.0181
TRANP-CNN,scipy/scipy,pydata/xarray,WP-small,0.12,0.24,0.56,0.2066,0.2259
TRANP-CNN,scipy/scipy,pydata/xarray,WP-large,0.16,0.44,0.72,0.2501,0.2921
TRANP-CNN,scipy/scipy,pydata/xarray,CP-cold-start,0.04,0.16,0.28,0.0972,0.1149
TRANP-CNN,scipy/scipy,pydata/xarray,CP-transfer,0.04,0.52,0.64,0.2063,0.235
TRANP-CNN,pydata/xarray,scipy/scipy,WP-small,0.0,0.0,0.0,0.0042,0.0042
TRANP-CNN,pydata/xarray,scipy/scipy,WP-large,0.0,0.0,0.0,0.0427,0.0427
TRANP-CNN,pydata/xarray,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0251,0.0251
TRANP-CNN,pydata/xarray,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0223,0.0223
TRANP-CNN,sympy/sympy,matplotlib/matplotlib,WP-small,0.027,0.0811,0.0811,0.2423,0.2423
TRANP-CNN,sympy/sympy,matplotlib/matplotlib,WP-large,0.027,0.1081,0.1622,0.2688,0.2688
TRANP-CNN,sympy/sympy,matplotlib/matplotlib,CP-cold-start,0.0,0.0,0.0541,0.0606,0.0606
TRANP-CNN,sympy/sympy,matplotlib/matplotlib,CP-transfer,0.0,0.0541,0.1351,0.1687,0.1687
TRANP-CNN,matplotlib/matplotlib,sympy/sympy,WP-small,0.0,0.0519,0.0909,0.0983,0.1224
TRANP-CNN,matplotlib/matplotlib,sympy/sympy,WP-large,0.013,0.0649,0.1039,0.1822,0.2028
TRANP-CNN,matplotlib/matplotlib,sympy/sympy,CP-cold-start,0.0,0.0,0.0,0.0269,0.0294
TRANP-CNN,matplotlib/matplotlib,sympy/sympy,CP-transfer,0.013,0.0519,0.0649,0.1305,0.1435
TRANP-CNN,sympy/sympy,numpy/numpy,WP-small,0.0435,0.1553,0.2174,0.2232,0.2476
TRANP-CNN,sympy/sympy,numpy/numpy,WP-large,0.0621,0.1491,0.205,0.2324,0.2643
TRANP-CNN,sympy/sympy,numpy/numpy,CP-cold-start,0.0,0.0124,0.0435,0.0462,0.0524
TRANP-CNN,sympy/sympy,numpy/numpy,CP-transfer,0.0621,0.1429,0.1925,0.2203,0.253
TRANP-CNN,numpy/numpy,sympy/sympy,WP-small,0.0519,0.0779,0.0909,0.2142,0.2818
TRANP-CNN,numpy/numpy,sympy/sympy,WP-large,0.013,0.0519,0.0909,0.1286,0.1464
TRANP-CNN,numpy/numpy,sympy/sympy,CP-cold-start,0.0,0.0,0.0,0.0067,0.0052
TRANP-CNN,numpy/numpy,sympy/sympy,CP-transfer,0.026,0.0519,0.0779,0.1377,0.1724
TRANP-CNN,sympy/sympy,open-mmlab/mmdetection,WP-small,0.0,0.0476,0.1429,0.0878,0.0895
TRANP-CNN,sympy/sympy,open-mmlab/mmdetection,WP-large,0.0,0.0476,0.1905,0.0777,0.0824
TRANP-CNN,sympy/sympy,open-mmlab/mmdetection,CP-cold-start,0.0,0.0,0.0,0.0082,0.0069
TRANP-CNN,sympy/sympy,open-mmlab/mmdetection,CP-transfer,0.0,0.1905,0.2857,0.1161,0.1542
TRANP-CNN,open-mmlab/mmdetection,sympy/sympy,WP-small,0.0,0.0519,0.0909,0.1122,0.1304
TRANP-CNN,open-mmlab/mmdetection,sympy/sympy,WP-large,0.026,0.0649,0.0779,0.1914,0.2099
TRANP-CNN,open-mmlab/mmdetection,sympy/sympy,CP-cold-start,0.0,0.0,0.0,0.0067,0.0055
TRANP-CNN,open-mmlab/mmdetection,sympy/sympy,CP-transfer,0.026,0.026,0.1039,0.1515,0.1684
TRANP-CNN,sympy/sympy,ray-project/ray,WP-small,0.0588,0.2059,0.25,0.1987,0.2648
TRANP-CNN,sympy/sympy,ray-project/ray,WP-large,0.0,0.0147,0.0735,0.052,0.0628
TRANP-CNN,sympy/sympy,ray-project/ray,CP-cold-start,0.0,0.0,0.0,0.007,0.0065
TRANP-CNN,sympy/sympy,ray-project/ray,CP-transfer,0.0735,0.1176,0.25,0.2149,0.2429
TRANP-CNN,ray-project/ray,sympy/sympy,WP-small,0.026,0.0779,0.1039,0.1632,0.1916
TRANP-CNN,ray-project/ray,sympy/sympy,WP-large,0.013,0.039,0.0909,0.1263,0.1363
TRANP-CNN,ray-project/ray,sympy/sympy,CP-cold-start,0.0,0.0,0.013,0.0125,0.0142
TRANP-CNN,ray-project/ray,sympy/sympy,CP-transfer,0.013,0.0519,0.0649,0.1384,0.1787
TRANP-CNN,sympy/sympy,scikit-learn/scikit-learn,WP-small,0.0217,0.1087,0.1957,0.2077,0.2221
TRANP-CNN,sympy/sympy,scikit-learn/scikit-learn,WP-large,0.0435,0.1087,0.1522,0.269,0.2984
TRANP-CNN,sympy/sympy,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0,0.005,0.0047
TRANP-CNN,sympy/sympy,scikit-learn/scikit-learn,CP-transfer,0.0217,0.1304,0.2174,0.2269,0.2367
TRANP-CNN,scikit-learn/scikit-learn,sympy/sympy,WP-small,0.039,0.0779,0.0779,0.208,0.2482
TRANP-CNN,scikit-learn/scikit-learn,sympy/sympy,WP-large,0.013,0.0649,0.0909,0.1562,0.1639
TRANP-CNN,scikit-learn/scikit-learn,sympy/sympy,CP-cold-start,0.0,0.039,0.0649,0.0898,0.0894
TRANP-CNN,scikit-learn/scikit-learn,sympy/sympy,CP-transfer,0.0,0.0519,0.0519,0.0822,0.1006
TRANP-CNN,sympy/sympy,google/jax,WP-small,0.2544,0.5351,0.6228,0.3232,0.4016
TRANP-CNN,sympy/sympy,google/jax,WP-large,0.2719,0.5702,0.6842,0.3481,0.4084
TRANP-CNN,sympy/sympy,google/jax,CP-cold-start,0.0175,0.0351,0.0614,0.0444,0.0447
TRANP-CNN,sympy/sympy,google/jax,CP-transfer,0.2719,0.5965,0.7456,0.3596,0.4364
TRANP-CNN,google/jax,sympy/sympy,WP-small,0.039,0.0519,0.1039,0.1763,0.2291
TRANP-CNN,google/jax,sympy/sympy,WP-large,0.0,0.026,0.039,0.0869,0.0837
TRANP-CNN,google/jax,sympy/sympy,CP-cold-start,0.0,0.0,0.039,0.0387,0.0374
TRANP-CNN,google/jax,sympy/sympy,CP-transfer,0.039,0.0649,0.0649,0.1821,0.2295
TRANP-CNN,sympy/sympy,jupyterlab/jupyterlab,WP-small,0.125,0.5,0.5,0.5103,0.5367
TRANP-CNN,sympy/sympy,jupyterlab/jupyterlab,WP-large,0.2,0.5,0.5,0.6342,0.6408
TRANP-CNN,sympy/sympy,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0109,0.0104
TRANP-CNN,sympy/sympy,jupyterlab/jupyterlab,CP-transfer,0.275,0.5,0.5,0.7183,0.71
TRANP-CNN,jupyterlab/jupyterlab,sympy/sympy,WP-small,0.0,0.039,0.0649,0.0842,0.1057
TRANP-CNN,jupyterlab/jupyterlab,sympy/sympy,WP-large,0.013,0.0519,0.0909,0.1293,0.165
TRANP-CNN,jupyterlab/jupyterlab,sympy/sympy,CP-cold-start,0.0,0.0,0.0,0.0081,0.0066
TRANP-CNN,jupyterlab/jupyterlab,sympy/sympy,CP-transfer,0.0,0.039,0.0779,0.0616,0.0837
TRANP-CNN,sympy/sympy,lightning-ai/lightning,WP-small,0.28,0.5067,0.6133,0.2659,0.4097
TRANP-CNN,sympy/sympy,lightning-ai/lightning,WP-large,0.3333,0.56,0.68,0.3284,0.4471
TRANP-CNN,sympy/sympy,lightning-ai/lightning,CP-cold-start,0.0,0.0,0.08,0.0425,0.0382
TRANP-CNN,sympy/sympy,lightning-ai/lightning,CP-transfer,0.32,0.56,0.6667,0.2955,0.4367
TRANP-CNN,lightning-ai/lightning,sympy/sympy,WP-small,0.0,0.0,0.0,0.0088,0.0075
TRANP-CNN,lightning-ai/lightning,sympy/sympy,WP-large,0.0,0.039,0.0779,0.08,0.1058
TRANP-CNN,lightning-ai/lightning,sympy/sympy,CP-cold-start,0.0,0.0,0.0,0.029,0.031
TRANP-CNN,lightning-ai/lightning,sympy/sympy,CP-transfer,0.026,0.0519,0.0649,0.1567,0.1993
TRANP-CNN,sympy/sympy,prefecthq/prefect,WP-small,0.0976,0.2073,0.2927,0.2772,0.3248
TRANP-CNN,sympy/sympy,prefecthq/prefect,WP-large,0.122,0.2927,0.3537,0.3029,0.3694
TRANP-CNN,sympy/sympy,prefecthq/prefect,CP-cold-start,0.0122,0.061,0.1341,0.0797,0.096
TRANP-CNN,sympy/sympy,prefecthq/prefect,CP-transfer,0.1098,0.2439,0.2561,0.2571,0.3257
TRANP-CNN,prefecthq/prefect,sympy/sympy,WP-small,0.0,0.026,0.0649,0.083,0.0803
TRANP-CNN,prefecthq/prefect,sympy/sympy,WP-large,0.013,0.0779,0.0909,0.171,0.1861
TRANP-CNN,prefecthq/prefect,sympy/sympy,CP-cold-start,0.0,0.0,0.013,0.0268,0.0278
TRANP-CNN,prefecthq/prefect,sympy/sympy,CP-transfer,0.026,0.0519,0.0649,0.1233,0.1921
TRANP-CNN,sympy/sympy,pydata/xarray,WP-small,0.04,0.08,0.2,0.0603,0.0978
TRANP-CNN,sympy/sympy,pydata/xarray,WP-large,0.08,0.4,0.52,0.2415,0.2601
TRANP-CNN,sympy/sympy,pydata/xarray,CP-cold-start,0.0,0.08,0.08,0.0435,0.0466
TRANP-CNN,sympy/sympy,pydata/xarray,CP-transfer,0.12,0.4,0.64,0.243,0.2711
TRANP-CNN,pydata/xarray,sympy/sympy,WP-small,0.026,0.0649,0.0909,0.1543,0.1971
TRANP-CNN,pydata/xarray,sympy/sympy,WP-large,0.026,0.0779,0.1299,0.2132,0.2233
TRANP-CNN,pydata/xarray,sympy/sympy,CP-cold-start,0.0,0.0,0.0,0.0118,0.0112
TRANP-CNN,pydata/xarray,sympy/sympy,CP-transfer,0.0,0.039,0.0519,0.0829,0.1106
TRANP-CNN,matplotlib/matplotlib,numpy/numpy,WP-small,0.0373,0.1242,0.1988,0.1793,0.2009
TRANP-CNN,matplotlib/matplotlib,numpy/numpy,WP-large,0.0497,0.1366,0.2174,0.231,0.247
TRANP-CNN,matplotlib/matplotlib,numpy/numpy,CP-cold-start,0.0,0.0124,0.0497,0.0317,0.0372
TRANP-CNN,matplotlib/matplotlib,numpy/numpy,CP-transfer,0.0311,0.1615,0.2174,0.2051,0.2104
TRANP-CNN,numpy/numpy,matplotlib/matplotlib,WP-small,0.027,0.0541,0.1081,0.2123,0.2123
TRANP-CNN,numpy/numpy,matplotlib/matplotlib,WP-large,0.0,0.1081,0.1622,0.1999,0.1999
TRANP-CNN,numpy/numpy,matplotlib/matplotlib,CP-cold-start,0.0,0.0,0.0,0.0037,0.0037
TRANP-CNN,numpy/numpy,matplotlib/matplotlib,CP-transfer,0.027,0.0541,0.0811,0.2091,0.2091
TRANP-CNN,matplotlib/matplotlib,open-mmlab/mmdetection,WP-small,0.0,0.0952,0.1429,0.1159,0.1145
TRANP-CNN,matplotlib/matplotlib,open-mmlab/mmdetection,WP-large,0.0,0.0952,0.1905,0.1019,0.1112
TRANP-CNN,matplotlib/matplotlib,open-mmlab/mmdetection,CP-cold-start,0.0476,0.0476,0.0952,0.135,0.1329
TRANP-CNN,matplotlib/matplotlib,open-mmlab/mmdetection,CP-transfer,0.0,0.1429,0.1905,0.12,0.1576
TRANP-CNN,open-mmlab/mmdetection,matplotlib/matplotlib,WP-small,0.027,0.0811,0.1081,0.2489,0.2489
TRANP-CNN,open-mmlab/mmdetection,matplotlib/matplotlib,WP-large,0.0,0.0,0.1081,0.1029,0.1029
TRANP-CNN,open-mmlab/mmdetection,matplotlib/matplotlib,CP-cold-start,0.0,0.027,0.027,0.0574,0.0574
TRANP-CNN,open-mmlab/mmdetection,matplotlib/matplotlib,CP-transfer,0.0,0.027,0.1351,0.1532,0.1532
TRANP-CNN,matplotlib/matplotlib,ray-project/ray,WP-small,0.0147,0.1618,0.1912,0.1388,0.1728
TRANP-CNN,matplotlib/matplotlib,ray-project/ray,WP-large,0.0735,0.1765,0.2059,0.2526,0.3056
TRANP-CNN,matplotlib/matplotlib,ray-project/ray,CP-cold-start,0.0,0.0735,0.1176,0.0637,0.0821
TRANP-CNN,matplotlib/matplotlib,ray-project/ray,CP-transfer,0.0147,0.0882,0.1618,0.0942,0.1293
TRANP-CNN,ray-project/ray,matplotlib/matplotlib,WP-small,0.0,0.0,0.027,0.0212,0.0212
TRANP-CNN,ray-project/ray,matplotlib/matplotlib,WP-large,0.0,0.1081,0.1622,0.2042,0.2042
TRANP-CNN,ray-project/ray,matplotlib/matplotlib,CP-cold-start,0.0,0.0,0.0,0.004,0.004
TRANP-CNN,ray-project/ray,matplotlib/matplotlib,CP-transfer,0.0,0.0811,0.1351,0.188,0.188
TRANP-CNN,matplotlib/matplotlib,scikit-learn/scikit-learn,WP-small,0.0435,0.1087,0.1087,0.1978,0.2607
TRANP-CNN,matplotlib/matplotlib,scikit-learn/scikit-learn,WP-large,0.0217,0.1522,0.1957,0.2244,0.2633
TRANP-CNN,matplotlib/matplotlib,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0,0.0094,0.0107
TRANP-CNN,matplotlib/matplotlib,scikit-learn/scikit-learn,CP-transfer,0.0,0.0652,0.1522,0.1291,0.1418
TRANP-CNN,scikit-learn/scikit-learn,matplotlib/matplotlib,WP-small,0.0,0.0,0.0,0.0074,0.0074
