model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR,n_reachable,n_test,denominator_corrected
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,CP-cold-start,0.05,0.225,0.45,0.1238,0.1342,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,CP-cold-start,0.0073529411764705,0.0183823529411764,0.0588235294117647,0.0219,0.0238,119.0,272.0,no
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,CP-transfer,0.2,0.4,0.475,0.2998,0.2991,20.0,40.0,no
COOBA,lightning-ai/lightning,pydata/xarray,WP-small,0.0,0.08,0.2,0.0761,0.0857,25.0,25.0,no
COOBA,lightning-ai/lightning,pydata/xarray,WP-large,0.08,0.2,0.44,0.1648,0.1818,25.0,25.0,no
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,CP-transfer,0.0404411764705882,0.1544117647058823,0.213235294117647,0.0765,0.0938,119.0,272.0,no
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,WP-small,0.05,0.35,0.5,0.173,0.1774,20.0,40.0,no
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,WP-large,0.225,0.45,0.5,0.2857,0.3078,20.0,40.0,no
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,CP-transfer,0.0,0.2,0.425,0.0935,0.0908,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,localstack/localstack,WP-small,0.0631578947368421,0.1894736842105263,0.3052631578947368,0.1076,0.1414,70.0,95.0,no
COOBA,lightning-ai/lightning,pydata/xarray,CP-cold-start,0.0,0.08,0.08,0.0241,0.0279,25.0,25.0,no
COOBA,jupyterlab/jupyterlab,localstack/localstack,WP-large,0.1052631578947368,0.2210526315789473,0.3263157894736842,0.138,0.1788,70.0,95.0,no
COOBA,jupyterlab/jupyterlab,localstack/localstack,CP-cold-start,0.0,0.0105263157894736,0.0421052631578947,0.0259,0.029,70.0,95.0,no
COOBA,jupyterlab/jupyterlab,localstack/localstack,CP-transfer,0.0947368421052631,0.231578947368421,0.3157894736842105,0.1296,0.1695,70.0,95.0,no
COOBA,localstack/localstack,jupyterlab/jupyterlab,WP-small,0.05,0.375,0.475,0.2081,0.2072,20.0,40.0,no
COOBA,lightning-ai/lightning,pydata/xarray,CP-transfer,0.0,0.2,0.44,0.1016,0.103,25.0,25.0,no
COOBA,pydata/xarray,lightning-ai/lightning,WP-small,0.0133333333333333,0.3466666666666667,0.48,0.1259,0.1504,74.0,75.0,no
COOBA,localstack/localstack,jupyterlab/jupyterlab,WP-large,0.15,0.475,0.5,0.2625,0.2762,20.0,40.0,no
COOBA,pydata/xarray,lightning-ai/lightning,WP-large,0.2666666666666666,0.4933333333333333,0.6933333333333334,0.3273,0.4053,74.0,75.0,no
COOBA,pydata/xarray,lightning-ai/lightning,CP-cold-start,0.0,0.0133333333333333,0.0933333333333333,0.0318,0.0379,74.0,75.0,no
COOBA,localstack/localstack,jupyterlab/jupyterlab,CP-cold-start,0.025,0.075,0.075,0.0394,0.0415,20.0,40.0,no
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0021,0.002,20.0,40.0,no
COOBA,pydata/xarray,lightning-ai/lightning,CP-transfer,0.0933333333333333,0.56,0.6666666666666666,0.2699,0.3125,74.0,75.0,no
COOBA,lightning-ai/lightning,ipython/ipython,WP-small,0.0059171597633136,0.0236686390532544,0.059171597633136,0.029,0.0343,98.0,169.0,no
COOBA,localstack/localstack,jupyterlab/jupyterlab,CP-transfer,0.15,0.275,0.475,0.2208,0.2205,20.0,40.0,no
COOBA,lightning-ai/lightning,prefecthq/prefect,WP-small,0.1341463414634146,0.2195121951219512,0.3170731707317073,0.1466,0.187,42.0,82.0,no
COOBA,lightning-ai/lightning,ipython/ipython,WP-large,0.0414201183431952,0.1538461538461538,0.1952662721893491,0.0803,0.0959,98.0,169.0,no
COOBA,lightning-ai/lightning,prefecthq/prefect,WP-large,0.1097560975609756,0.2682926829268293,0.3536585365853658,0.1531,0.1829,42.0,82.0,no
COOBA,lightning-ai/lightning,ipython/ipython,CP-cold-start,0.0,0.0,0.0,0.0041,0.0039,98.0,169.0,no
COOBA,lightning-ai/lightning,prefecthq/prefect,CP-cold-start,0.0,0.0,0.0,0.0084,0.0053,42.0,82.0,no
COOBA,lightning-ai/lightning,prefecthq/prefect,CP-transfer,0.1097560975609756,0.2560975609756097,0.3536585365853658,0.1493,0.1862,42.0,82.0,no
COOBA,prefecthq/prefect,lightning-ai/lightning,WP-small,0.2133333333333333,0.5333333333333333,0.6533333333333333,0.2899,0.3609,74.0,75.0,no
COOBA,lightning-ai/lightning,ipython/ipython,CP-transfer,0.0236686390532544,0.1242603550295858,0.2011834319526627,0.0678,0.075,98.0,169.0,no
COOBA,ipython/ipython,lightning-ai/lightning,WP-small,0.1333333333333333,0.5066666666666667,0.64,0.2656914274952071,0.3141341844905784,,,False
COOBA,prefecthq/prefect,lightning-ai/lightning,WP-large,0.2933333333333333,0.5333333333333333,0.6533333333333333,0.3309,0.416,74.0,75.0,no
COOBA,ipython/ipython,lightning-ai/lightning,WP-large,0.1733333333333333,0.5866666666666667,0.72,0.2853705449148654,0.3640068960390739,,,False
COOBA,prefecthq/prefect,lightning-ai/lightning,CP-cold-start,0.0,0.0533333333333333,0.0933333333333333,0.0389,0.0459,74.0,75.0,no
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,CP-transfer,0.0,0.175,0.5,0.0955,0.093,20.0,40.0,no
COOBA,lightning-ai/lightning,numpy/numpy,WP-small,0.0124223602484472,0.0869565217391304,0.1677018633540372,0.0556,0.0581,69.0,161.0,no
COOBA,ipython/ipython,lightning-ai/lightning,CP-cold-start,0.0,0.0133333333333333,0.12,0.0419651997958055,0.0448508697725734,,,False
COOBA,prefecthq/prefect,lightning-ai/lightning,CP-transfer,0.24,0.5333333333333333,0.64,0.2608,0.3639,74.0,75.0,no
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,WP-small,0.0,0.0869565217391304,0.1304347826086956,0.0426,0.0446,13.0,46.0,no
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,WP-large,0.0217391304347826,0.0434782608695652,0.0652173913043478,0.0439,0.0435,13.0,46.0,no
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,CP-cold-start,0.0434782608695652,0.0652173913043478,0.108695652173913,0.051,0.0608,13.0,46.0,no
COOBA,lightning-ai/lightning,numpy/numpy,WP-large,0.0496894409937888,0.1366459627329192,0.217391304347826,0.09,0.1015,69.0,161.0,no
COOBA,lightning-ai/lightning,numpy/numpy,CP-cold-start,0.0,0.0,0.0,0.0027,0.002,69.0,161.0,no
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,CP-transfer,0.0217391304347826,0.0434782608695652,0.108695652173913,0.048,0.0479,13.0,46.0,no
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,WP-small,0.28,0.5333333333333333,0.6666666666666666,0.3031,0.4014,74.0,75.0,no
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,WP-large,0.2266666666666666,0.5066666666666667,0.68,0.2784,0.3588,74.0,75.0,no
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,CP-cold-start,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.018,0.0224,74.0,75.0,no
COOBA,ipython/ipython,lightning-ai/lightning,CP-transfer,0.16,0.52,0.72,0.2671016377426917,0.3290734588529369,,,False
COOBA,lightning-ai/lightning,docker/compose,WP-small,0.2393162393162393,0.7094017094017094,0.8034188034188035,0.3487719809029875,0.415380269928972,,,False
COOBA,lightning-ai/lightning,numpy/numpy,CP-transfer,0.0124223602484472,0.0993788819875776,0.1304347826086956,0.0638,0.0657,69.0,161.0,no
COOBA,numpy/numpy,lightning-ai/lightning,WP-small,0.1466666666666666,0.4933333333333333,0.6533333333333333,0.2637,0.3262,74.0,75.0,no
COOBA,numpy/numpy,lightning-ai/lightning,WP-large,0.2933333333333333,0.5866666666666667,0.7333333333333333,0.3432,0.4336,74.0,75.0,no
COOBA,lightning-ai/lightning,docker/compose,WP-large,0.188034188034188,0.6495726495726496,0.7948717948717948,0.3267942236999488,0.3727988023001877,,,False
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,CP-transfer,0.32,0.52,0.6666666666666666,0.3262,0.4367,74.0,75.0,no
COOBA,lightning-ai/lightning,ansible/ansible,WP-small,0.0,0.0064935064935064,0.0129870129870129,0.006,0.0061,15.0,154.0,no
COOBA,lightning-ai/lightning,docker/compose,CP-cold-start,0.0085470085470085,0.1111111111111111,0.188034188034188,0.0772537860242209,0.08614157273066,,,False
COOBA,lightning-ai/lightning,ansible/ansible,WP-large,0.0,0.0194805194805194,0.0194805194805194,0.0054,0.0055,15.0,154.0,no
COOBA,lightning-ai/lightning,docker/compose,CP-transfer,0.2991452991452991,0.7264957264957265,0.8376068376068376,0.4103829250143134,0.4662411786425571,,,False
COOBA,numpy/numpy,lightning-ai/lightning,CP-cold-start,0.0266666666666666,0.1066666666666666,0.1066666666666666,0.0747,0.0771,74.0,75.0,no
COOBA,docker/compose,lightning-ai/lightning,WP-small,0.24,0.5333333333333333,0.64,0.299441988434228,0.379572807684842,,,False
BLAZE,jupyterlab/jupyterlab,ipython/ipython,WP-small,0.1598,0.3314,0.4379,0.2273,0.2449,169.0,169.0,yes
COOBA,lightning-ai/lightning,ansible/ansible,CP-cold-start,0.0,0.0,0.0064935064935064,0.0024,0.0024,15.0,154.0,no
COOBA,docker/compose,lightning-ai/lightning,WP-large,0.2933333333333333,0.5733333333333334,0.6666666666666666,0.3316711375638044,0.4237669098453043,,,False
COOBA,docker/compose,lightning-ai/lightning,CP-cold-start,0.04,0.04,0.12,0.0223461461172559,0.0576146714741302,,,False
COOBA,lightning-ai/lightning,ansible/ansible,CP-transfer,0.0,0.0129870129870129,0.0129870129870129,0.0084,0.0084,15.0,154.0,no
COOBA,ansible/ansible,lightning-ai/lightning,WP-small,0.0666666666666666,0.4,0.5866666666666667,0.1892,0.2252,74.0,75.0,no
COOBA,ansible/ansible,lightning-ai/lightning,WP-large,0.28,0.52,0.6933333333333334,0.3266,0.4006,74.0,75.0,no
COOBA,docker/compose,lightning-ai/lightning,CP-transfer,0.3333333333333333,0.5333333333333333,0.6933333333333334,0.3196259609437879,0.4465226770250067,,,False
COOBA,ansible/ansible,lightning-ai/lightning,CP-cold-start,0.0133333333333333,0.0666666666666666,0.1466666666666666,0.0463,0.0516,74.0,75.0,no
COOBA,lightning-ai/lightning,qiskit/qiskit,WP-small,0.0698529411764705,0.1801470588235294,0.2426470588235294,0.0960796385668796,0.1183363167538204,,,False
COOBA,numpy/numpy,lightning-ai/lightning,CP-transfer,0.0533333333333333,0.44,0.6533333333333333,0.2085,0.252,74.0,75.0,no
COOBA,lightning-ai/lightning,mesonbuild/meson,WP-small,0.0,0.0158730158730158,0.0476190476190476,0.0199681288927302,0.0187386475622374,,,False
COOBA,lightning-ai/lightning,mesonbuild/meson,WP-large,0.0264550264550264,0.1587301587301587,0.1957671957671957,0.0726839257933322,0.0785547553902264,,,False
COOBA,ansible/ansible,lightning-ai/lightning,CP-transfer,0.2933333333333333,0.52,0.6133333333333333,0.3256,0.4223,74.0,75.0,no
COOBA,lightning-ai/lightning,wagtail/wagtail,WP-small,0.0121951219512195,0.0609756097560975,0.0975609756097561,0.0242,0.0342,13.0,82.0,no
COOBA,lightning-ai/lightning,qiskit/qiskit,WP-large,0.0661764705882353,0.2316176470588235,0.2720588235294117,0.1043149854213503,0.1417584905255813,,,False
COOBA,lightning-ai/lightning,mesonbuild/meson,CP-cold-start,0.0,0.0,0.0,0.0012295638211819,0.0009642155395221,,,False
COOBA,lightning-ai/lightning,wagtail/wagtail,WP-large,0.0609756097560975,0.1097560975609756,0.1341463414634146,0.0674,0.0794,13.0,82.0,no
COOBA,lightning-ai/lightning,qiskit/qiskit,CP-cold-start,0.0073529411764705,0.0183823529411764,0.0294117647058823,0.0094748813687569,0.0167756490522259,,,False
COOBA,lightning-ai/lightning,wagtail/wagtail,CP-cold-start,0.0,0.024390243902439,0.024390243902439,0.0069,0.0093,13.0,82.0,no
COOBA,lightning-ai/lightning,wagtail/wagtail,CP-transfer,0.0,0.0365853658536585,0.1097560975609756,0.0212,0.0233,13.0,82.0,no
COOBA,lightning-ai/lightning,mesonbuild/meson,CP-transfer,0.0317460317460317,0.1322751322751322,0.1957671957671957,0.0718509859745664,0.0768936351544071,,,False
COOBA,mesonbuild/meson,lightning-ai/lightning,WP-small,0.28,0.48,0.64,0.2923551031138412,0.3798950321021586,,,False
COOBA,mesonbuild/meson,lightning-ai/lightning,WP-large,0.28,0.5333333333333333,0.6666666666666666,0.330684372974857,0.4143068908223998,,,False
COOBA,lightning-ai/lightning,qiskit/qiskit,CP-transfer,0.0698529411764705,0.1691176470588235,0.2426470588235294,0.0987314910828771,0.1181403635975718,,,False
COOBA,qiskit/qiskit,lightning-ai/lightning,WP-small,0.1733333333333333,0.56,0.6533333333333333,0.2747684616214406,0.3391265277940734,,,False
COOBA,qiskit/qiskit,lightning-ai/lightning,WP-large,0.28,0.52,0.7066666666666667,0.3168172093436623,0.3910784253155044,,,False
COOBA,mesonbuild/meson,lightning-ai/lightning,CP-cold-start,0.0133333333333333,0.0266666666666666,0.0666666666666666,0.0429085850515766,0.050641883137644,,,False
COOBA,qiskit/qiskit,lightning-ai/lightning,CP-cold-start,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0126090074354774,0.020573584834055,,,False
COOBA,mesonbuild/meson,lightning-ai/lightning,CP-transfer,0.1466666666666666,0.5066666666666667,0.6933333333333334,0.2405703189060539,0.313904622979844,,,False
COOBA,lightning-ai/lightning,localstack/localstack,WP-small,0.0421052631578947,0.2631578947368421,0.3052631578947368,0.1091,0.1432,70.0,95.0,no
COOBA,lightning-ai/lightning,localstack/localstack,WP-large,0.0736842105263157,0.2210526315789473,0.3263157894736842,0.1225,0.1607,70.0,95.0,no
COOBA,lightning-ai/lightning,localstack/localstack,CP-cold-start,0.0105263157894736,0.0421052631578947,0.0842105263157894,0.0234,0.0363,70.0,95.0,no
COOBA,lightning-ai/lightning,localstack/localstack,CP-transfer,0.0736842105263157,0.2631578947368421,0.3368421052631579,0.1193,0.1581,70.0,95.0,no
COOBA,localstack/localstack,lightning-ai/lightning,WP-small,0.16,0.5066666666666667,0.64,0.236,0.3129,74.0,75.0,no
COOBA,localstack/localstack,lightning-ai/lightning,WP-large,0.28,0.56,0.7333333333333333,0.3385,0.4247,74.0,75.0,no
COOBA,localstack/localstack,lightning-ai/lightning,CP-cold-start,0.0266666666666666,0.3066666666666666,0.4266666666666667,0.1005,0.1485,74.0,75.0,no
BLAZE,jupyterlab/jupyterlab,ipython/ipython,WP-large,0.2781,0.503,0.5858,0.345,0.383,169.0,169.0,yes
BLAZE,jupyterlab/jupyterlab,ipython/ipython,CP-cold-start,0.1479,0.2781,0.3077,0.1891,0.207,169.0,169.0,yes
BLAZE,jupyterlab/jupyterlab,ipython/ipython,CP-transfer,0.1657,0.4083,0.4734,0.2511,0.2782,169.0,169.0,yes
BLAZE,ipython/ipython,jupyterlab/jupyterlab,WP-small,0.025,0.025,0.025,0.0314,0.0321,38.0,40.0,yes
BLAZE,ipython/ipython,jupyterlab/jupyterlab,WP-large,0.175,0.25,0.25,0.1839,0.2087,38.0,40.0,yes
COOBA,qiskit/qiskit,lightning-ai/lightning,CP-transfer,0.1066666666666666,0.4533333333333333,0.64,0.2438794934043945,0.2741331813316011,,,False
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,WP-small,0.0,0.0,0.0869565217391304,0.0212,0.02,13.0,46.0,no
COOBA,localstack/localstack,lightning-ai/lightning,CP-transfer,0.28,0.52,0.6666666666666666,0.3238,0.4165,74.0,75.0,no
BLAZE,ipython/ipython,jupyterlab/jupyterlab,CP-cold-start,0.15,0.225,0.25,0.1561,0.1915,38.0,40.0,yes
COOBA,prefecthq/prefect,pydata/xarray,WP-small,0.04,0.24,0.32,0.1383,0.1612,25.0,25.0,no
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,WP-large,0.0,0.0217391304347826,0.0652173913043478,0.0236,0.0232,13.0,46.0,no
COOBA,prefecthq/prefect,pydata/xarray,WP-large,0.16,0.32,0.36,0.2202,0.2701,25.0,25.0,no
BLAZE,ipython/ipython,jupyterlab/jupyterlab,CP-transfer,0.15,0.225,0.225,0.1556,0.1811,38.0,40.0,yes
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,WP-small,0.1323,0.2593,0.3069,0.174,0.1917,188.0,189.0,yes
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,WP-large,0.1905,0.3016,0.3757,0.2327,0.2466,188.0,189.0,yes
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0,0.0012,0.0011,13.0,46.0,no
COOBA,prefecthq/prefect,pydata/xarray,CP-cold-start,0.0,0.0,0.0,0.0079,0.0064,25.0,25.0,no
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,CP-cold-start,0.1111,0.2434,0.3016,0.1514,0.1674,188.0,189.0,yes
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,CP-transfer,0.0,0.0217391304347826,0.108695652173913,0.0287,0.0284,13.0,46.0,no
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,WP-small,0.0975609756097561,0.1951219512195122,0.3170731707317073,0.1216,0.1552,42.0,82.0,no
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,WP-large,0.1463414634146341,0.2682926829268293,0.3536585365853658,0.1688,0.207,42.0,82.0,no
COOBA,prefecthq/prefect,pydata/xarray,CP-transfer,0.12,0.32,0.52,0.2109,0.2467,25.0,25.0,no
COOBA,pydata/xarray,prefecthq/prefect,WP-small,0.0975609756097561,0.2195121951219512,0.3048780487804878,0.129,0.1553,42.0,82.0,no
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,CP-cold-start,0.0,0.0,0.0,0.0071,0.0045,42.0,82.0,no
COOBA,pydata/xarray,prefecthq/prefect,WP-large,0.1219512195121951,0.2439024390243902,0.2804878048780488,0.1406,0.1767,42.0,82.0,no
COOBA,pydata/xarray,prefecthq/prefect,CP-cold-start,0.0,0.048780487804878,0.048780487804878,0.0146,0.0217,42.0,82.0,no
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,CP-transfer,0.1341463414634146,0.2560975609756097,0.3170731707317073,0.1533,0.1928,42.0,82.0,no
COOBA,prefecthq/prefect,ansible/ansible,WP-small,0.0064935064935064,0.0129870129870129,0.0129870129870129,0.0097,0.0097,15.0,154.0,no
COOBA,pydata/xarray,prefecthq/prefect,CP-transfer,0.0609756097560975,0.2317073170731707,0.3048780487804878,0.1177,0.1422,42.0,82.0,no
COOBA,prefecthq/prefect,ipython/ipython,WP-small,0.0059171597633136,0.0236686390532544,0.136094674556213,0.0367903714860782,0.0421147381149219,,,False
COOBA,prefecthq/prefect,ansible/ansible,WP-large,0.0064935064935064,0.0129870129870129,0.0129870129870129,0.0108,0.0108,15.0,154.0,no
COOBA,prefecthq/prefect,ipython/ipython,WP-large,0.0414201183431952,0.1420118343195266,0.2426035502958579,0.0858882437794617,0.1050752555383973,,,False
COOBA,prefecthq/prefect,ansible/ansible,CP-cold-start,0.0,0.0,0.0,0.0013,0.0015,15.0,154.0,no
COOBA,prefecthq/prefect,ipython/ipython,CP-cold-start,0.0,0.0,0.0059171597633136,0.0046804077078683,0.0045286467115663,,,False
COOBA,prefecthq/prefect,ansible/ansible,CP-transfer,0.0,0.0129870129870129,0.0129870129870129,0.0088,0.0088,15.0,154.0,no
COOBA,ansible/ansible,prefecthq/prefect,WP-small,0.1219512195121951,0.1951219512195122,0.3048780487804878,0.1415,0.1729,42.0,82.0,no
COOBA,ansible/ansible,prefecthq/prefect,WP-large,0.1463414634146341,0.2682926829268293,0.3536585365853658,0.1622,0.2129,42.0,82.0,no
COOBA,prefecthq/prefect,ipython/ipython,CP-transfer,0.0236686390532544,0.1301775147928994,0.2130177514792899,0.0631294206062941,0.0767827997091381,,,False
COOBA,ipython/ipython,prefecthq/prefect,WP-small,0.0121951219512195,0.2195121951219512,0.2682926829268293,0.0947370605526412,0.1076107782647983,,,False
COOBA,ipython/ipython,prefecthq/prefect,WP-large,0.048780487804878,0.0853658536585365,0.2073170731707317,0.0630149577363044,0.0906827401855191,,,False
COOBA,ansible/ansible,prefecthq/prefect,CP-cold-start,0.0121951219512195,0.048780487804878,0.073170731707317,0.0295,0.0391,42.0,82.0,no
COOBA,ipython/ipython,prefecthq/prefect,CP-cold-start,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.0086579185188312,0.0164229141891618,,,False
COOBA,ansible/ansible,prefecthq/prefect,CP-transfer,0.1463414634146341,0.2682926829268293,0.3414634146341463,0.1677,0.2129,42.0,82.0,no
COOBA,prefecthq/prefect,wagtail/wagtail,WP-small,0.0121951219512195,0.0853658536585365,0.1097560975609756,0.0437,0.0521,13.0,82.0,no
COOBA,prefecthq/prefect,wagtail/wagtail,WP-large,0.0609756097560975,0.0975609756097561,0.1341463414634146,0.0669,0.0795,13.0,82.0,no
COOBA,prefecthq/prefect,wagtail/wagtail,CP-cold-start,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.0055,0.0134,13.0,82.0,no
COOBA,ipython/ipython,prefecthq/prefect,CP-transfer,0.0609756097560975,0.1829268292682926,0.3048780487804878,0.1145394934323141,0.1326737563178513,,,False
COOBA,prefecthq/prefect,docker/compose,WP-small,0.0854700854700854,0.6239316239316239,0.8034188034188035,0.2587672361161435,0.2790001545879433,,,False
COOBA,prefecthq/prefect,docker/compose,WP-large,0.2051282051282051,0.7264957264957265,0.8974358974358975,0.3619425833403784,0.3996186391037508,,,False
COOBA,prefecthq/prefect,wagtail/wagtail,CP-transfer,0.024390243902439,0.0975609756097561,0.1219512195121951,0.048,0.0494,13.0,82.0,no
COOBA,wagtail/wagtail,prefecthq/prefect,WP-small,0.0609756097560975,0.1829268292682926,0.3170731707317073,0.1085345920307341,0.1300319556311986,,,False
COOBA,prefecthq/prefect,docker/compose,CP-cold-start,0.0854700854700854,0.1709401709401709,0.1965811965811965,0.0803126301711692,0.1258881066387118,,,False
COOBA,wagtail/wagtail,prefecthq/prefect,WP-large,0.0853658536585365,0.2682926829268293,0.3170731707317073,0.1346261495395584,0.1615494503074262,,,False
COOBA,wagtail/wagtail,prefecthq/prefect,CP-cold-start,0.0,0.0121951219512195,0.048780487804878,0.0120586702706779,0.013815804582304,,,False
COOBA,prefecthq/prefect,docker/compose,CP-transfer,0.188034188034188,0.7264957264957265,0.8205128205128205,0.3285469795293591,0.3737066262572336,,,False
COOBA,docker/compose,prefecthq/prefect,WP-small,0.1219512195121951,0.2073170731707317,0.3292682926829268,0.135571269654012,0.1706678635448246,,,False
COOBA,wagtail/wagtail,prefecthq/prefect,CP-transfer,0.0853658536585365,0.2804878048780488,0.3902439024390244,0.1492810901086414,0.182134048175156,,,False
COOBA,docker/compose,prefecthq/prefect,WP-large,0.1341463414634146,0.2804878048780488,0.3536585365853658,0.1627544202716598,0.2111685555502059,,,False
COOBA,pydata/xarray,scikit-learn/scikit-learn,WP-small,0.0,0.0,0.0434782608695652,0.0176,0.0165,13.0,46.0,no
COOBA,pydata/xarray,scikit-learn/scikit-learn,WP-large,0.0,0.0217391304347826,0.0434782608695652,0.0234,0.0233,13.0,46.0,no
COOBA,pydata/xarray,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0434782608695652,0.0079,0.0079,13.0,46.0,no
COOBA,docker/compose,prefecthq/prefect,CP-cold-start,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.0101377679854529,0.0167516714527041,,,False
COOBA,pydata/xarray,scikit-learn/scikit-learn,CP-transfer,0.0,0.0,0.0217391304347826,0.0168,0.0157,13.0,46.0,no
COOBA,scikit-learn/scikit-learn,pydata/xarray,WP-small,0.0,0.08,0.28,0.0814,0.0861,25.0,25.0,no
COOBA,scikit-learn/scikit-learn,pydata/xarray,WP-large,0.16,0.36,0.68,0.2537,0.302,25.0,25.0,no
COOBA,scikit-learn/scikit-learn,pydata/xarray,CP-cold-start,0.0,0.0,0.0,0.0079,0.0064,25.0,25.0,no
COOBA,docker/compose,prefecthq/prefect,CP-transfer,0.0365853658536585,0.2560975609756097,0.2926829268292683,0.1165841715431474,0.1268945982656416,,,False
COOBA,prefecthq/prefect,qiskit/qiskit,WP-small,0.0441176470588235,0.1397058823529411,0.2463235294117647,0.0822011407310262,0.1002222651953364,,,False
COOBA,scikit-learn/scikit-learn,pydata/xarray,CP-transfer,0.08,0.36,0.52,0.174,0.2057,25.0,25.0,no
COOBA,pydata/xarray,ansible/ansible,WP-small,0.0,0.0129870129870129,0.0194805194805194,0.0079668972229951,0.0079237087507553,,,False
COOBA,pydata/xarray,ansible/ansible,WP-large,0.0,0.0129870129870129,0.0194805194805194,0.0089241870431345,0.0089183114231574,,,False
COOBA,pydata/xarray,ansible/ansible,CP-cold-start,0.0,0.0,0.0,0.001243540474507,0.0012154893066202,,,False
COOBA,prefecthq/prefect,qiskit/qiskit,WP-large,0.0808823529411764,0.2279411764705882,0.2794117647058823,0.1147370769973941,0.1465302998371857,,,False
COOBA,pydata/xarray,ansible/ansible,CP-transfer,0.0,0.0064935064935064,0.0129870129870129,0.0057558599004187,0.0058163857274444,,,False
COOBA,ansible/ansible,pydata/xarray,WP-small,0.0,0.04,0.16,0.0652336510531055,0.0691887490022913,,,False
COOBA,ansible/ansible,pydata/xarray,WP-large,0.08,0.4,0.52,0.208834596240588,0.2382955705146857,,,False
COOBA,prefecthq/prefect,qiskit/qiskit,CP-cold-start,0.0,0.0220588235294117,0.0477941176470588,0.0167977782589924,0.0194329511225411,,,False
COOBA,ansible/ansible,pydata/xarray,CP-cold-start,0.0,0.0,0.0,0.0086547841467179,0.0070947034279968,,,False
COOBA,ansible/ansible,pydata/xarray,CP-transfer,0.12,0.44,0.56,0.2175007228152664,0.2647412493452665,,,False
COOBA,pydata/xarray,wagtail/wagtail,WP-small,0.0121951219512195,0.048780487804878,0.0975609756097561,0.0225469688970108,0.0318278573852164,,,False
COOBA,pydata/xarray,wagtail/wagtail,WP-large,0.0365853658536585,0.0975609756097561,0.1341463414634146,0.0605810646934095,0.0635600988362824,,,False
COOBA,prefecthq/prefect,qiskit/qiskit,CP-transfer,0.0661764705882353,0.1691176470588235,0.2463235294117647,0.1035135855346938,0.1241804430399751,,,False
COOBA,qiskit/qiskit,prefecthq/prefect,WP-small,0.0853658536585365,0.2560975609756097,0.3170731707317073,0.1334505900599981,0.1577948205282835,,,False
COOBA,pydata/xarray,wagtail/wagtail,CP-cold-start,0.0,0.0,0.0,0.0008219276378393,0.0006309331246398,,,False
COOBA,qiskit/qiskit,prefecthq/prefect,WP-large,0.0975609756097561,0.2560975609756097,0.3658536585365853,0.1562027820808946,0.1865667239899812,,,False
COOBA,pydata/xarray,wagtail/wagtail,CP-transfer,0.0,0.0609756097560975,0.0853658536585365,0.0192969423676552,0.02308621095642,,,False
COOBA,wagtail/wagtail,pydata/xarray,WP-small,0.08,0.24,0.36,0.1442269298002283,0.1740947147080198,,,False
COOBA,wagtail/wagtail,pydata/xarray,WP-large,0.12,0.28,0.52,0.1953762598777091,0.2496712022991221,,,False
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,CP-transfer,0.1958,0.3175,0.3598,0.2341,0.2534,188.0,189.0,yes
BLAZE,mesonbuild/meson,jupyterlab/jupyterlab,WP-small,0.0,0.025,0.025,0.0198,0.0207,38.0,40.0,yes
