model_name,source_project,target_project,MRR,MAP,top-1,top-10,tgt_LoC,tgt_n_bugs,src_LoC,src_n_bugs,viable,mrr_wps,delta_vs_wps,tgt_LoC_q,src_n_bugs_q
COOBA,lightning-ai/lightning,wagtail/wagtail,0.0093,0.0069,0.0,0.024390243902439,285999,404,51387,366,False,0.0342,-0.024900000000000002,Q3,Q2
COOBA,lightning-ai/lightning,localstack/localstack,0.0363,0.0234,0.0105263157894736,0.0842105263157894,571611,472,51387,366,False,0.1432,-0.1069,"Q4
(largest)",Q2
COOBA,localstack/localstack,lightning-ai/lightning,0.1485,0.1005,0.0266666666666666,0.4266666666666667,51387,366,571611,472,False,0.3129,-0.16440000000000002,"Q1
(smallest)",Q3
BLAZE,jupyterlab/jupyterlab,ipython/ipython,0.207,0.1891,0.1479,0.3077,77778,832,39372,197,True,0.2449,-0.03790000000000002,Q2,Q1
BLAZE,ipython/ipython,jupyterlab/jupyterlab,0.1915,0.1561,0.15,0.25,39372,197,77778,832,False,0.0321,0.15940000000000001,"Q1
(smallest)",Q4
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,0.0011,0.0012,0.0,0.0,376169,228,107073,404,False,0.02,-0.0189,"Q4
(largest)",Q2
COOBA,prefecthq/prefect,pydata/xarray,0.0064,0.0079,0.0,0.0,142044,110,107073,404,False,0.1612,-0.15480000000000002,Q3,Q2
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,0.1674,0.1514,0.1111,0.3016,121402,937,39372,197,False,0.1917,-0.024300000000000016,Q2,Q1
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,0.0045,0.0071,0.0,0.0,107073,404,376169,228,False,0.1552,-0.1507,Q2,Q2
COOBA,pydata/xarray,prefecthq/prefect,0.0217,0.0146,0.0,0.048780487804878,107073,404,142044,110,False,0.1553,-0.1336,Q2,Q1
COOBA,prefecthq/prefect,ansible/ansible,0.0015,0.0013,0.0,0.0,348229,768,107073,404,False,0.0097,-0.0082,"Q4
(largest)",Q2
COOBA,ansible/ansible,prefecthq/prefect,0.0391,0.0295,0.0121951219512195,0.073170731707317,107073,404,348229,768,False,0.1729,-0.1338,Q2,Q3
COOBA,prefecthq/prefect,wagtail/wagtail,0.0134,0.0055,0.0121951219512195,0.0121951219512195,285999,404,107073,404,False,0.0521,-0.0387,Q3,Q2
COOBA,pydata/xarray,scikit-learn/scikit-learn,0.0079,0.0079,0.0,0.0434782608695652,376169,228,142044,110,False,0.0165,-0.0086,"Q4
(largest)",Q1
COOBA,scikit-learn/scikit-learn,pydata/xarray,0.0064,0.0079,0.0,0.0,142044,110,376169,228,False,0.0861,-0.0797,Q3,Q2
BLAZE,mesonbuild/meson,jupyterlab/jupyterlab,0.1424,0.1272,0.075,0.225,39372,197,121402,937,False,0.0207,0.1217,"Q1
(smallest)",Q4
BLAZE,jupyterlab/jupyterlab,ansible/ansible,0.0983,0.0879,0.0714,0.1429,348229,768,39372,197,False,0.13,-0.031700000000000006,"Q4
(largest)",Q1
BLAZE,ansible/ansible,jupyterlab/jupyterlab,0.1922,0.1741,0.175,0.225,39372,197,348229,768,False,0.1565,0.03570000000000001,"Q1
(smallest)",Q3
BLAZE,jupyterlab/jupyterlab,docker/compose,0.1855,0.1517,0.1026,0.3675,34586,572,39372,197,False,0.3739,-0.1884,"Q1
(smallest)",Q1
BLAZE,docker/compose,jupyterlab/jupyterlab,0.1559,0.1309,0.125,0.2,39372,197,34586,572,False,0.0411,0.11480000000000001,"Q1
(smallest)",Q3
COOBA,numpy/numpy,qiskit/qiskit,0.0159,0.0129,0.0036764705882352,0.0294117647058823,435173,1336,276548,789,False,0.1264,-0.11050000000000001,"Q4
(largest)",Q4
BLAZE,jupyterlab/jupyterlab,localstack/localstack,0.136,0.1017,0.0737,0.2421,571611,472,39372,197,False,0.1848,-0.04879999999999998,"Q4
(largest)",Q1
COOBA,qiskit/qiskit,numpy/numpy,0.0089,0.0045,0.0062111801242236,0.0062111801242236,276548,789,435173,1336,False,0.0515,-0.0426,Q3,Q4
BLAZE,localstack/localstack,jupyterlab/jupyterlab,0.0677,0.0517,0.05,0.1,39372,197,571611,472,False,0.0224,0.04529999999999999,"Q1
(smallest)",Q3
COOBA,numpy/numpy,mesonbuild/meson,0.0241,0.022,0.0052910052910052,0.0582010582010582,121402,937,276548,789,False,0.088,-0.0639,Q2,Q4
COOBA,numpy/numpy,localstack/localstack,0.0285,0.016,0.0105263157894736,0.0526315789473684,571611,472,276548,789,False,0.0963,-0.0678,"Q4
(largest)",Q4
BLAZE,jupyterlab/jupyterlab,wagtail/wagtail,0.0737,0.0702,0.0244,0.1585,285999,404,39372,197,False,0.1061,-0.0324,Q3,Q1
BLAZE,wagtail/wagtail,jupyterlab/jupyterlab,0.129,0.1096,0.1,0.15,39372,197,285999,404,False,0.0293,0.09970000000000001,"Q1
(smallest)",Q2
BLAZE,jupyterlab/jupyterlab,qiskit/qiskit,0.1671,0.1418,0.0993,0.3309,435173,1336,39372,197,False,0.259,-0.09190000000000001,"Q4
(largest)",Q1
COOBA,localstack/localstack,numpy/numpy,0.0137,0.0116,0.0,0.0186335403726708,276548,789,571611,472,False,0.0679,-0.0542,Q3,Q3
COOBA,prefecthq/prefect,numpy/numpy,0.054,0.0442,0.0124223602484472,0.1304347826086956,276548,789,107073,404,False,0.0465,0.0075,Q3,Q2
COOBA,numpy/numpy,prefecthq/prefect,0.0446,0.0354,0.0121951219512195,0.1097560975609756,107073,404,276548,789,False,0.138,-0.09340000000000001,Q2,Q4
COOBA,prefecthq/prefect,mesonbuild/meson,0.0129,0.014,0.0,0.0317460317460317,121402,937,107073,404,False,0.1017,-0.0888,Q2,Q2
COOBA,pydata/xarray,numpy/numpy,0.0311,0.023,0.0186335403726708,0.0496894409937888,276548,789,142044,110,False,0.0512,-0.020100000000000003,Q3,Q1
COOBA,numpy/numpy,pydata/xarray,0.02,0.0197,0.0,0.04,142044,110,276548,789,False,0.0916,-0.0716,Q3,Q4
COOBA,ipython/ipython,docker/compose,0.0565,0.0222,0.0256410256410256,0.094017094017094,34586,572,77778,832,False,0.3891,-0.3326,"Q1
(smallest)",Q4
COOBA,docker/compose,ipython/ipython,0.0068,0.0054,0.0,0.0118343195266272,77778,832,34586,572,False,0.0475,-0.0407,Q2,Q3
COOBA,ipython/ipython,qiskit/qiskit,0.0468,0.0354,0.0183823529411764,0.0955882352941176,435173,1336,77778,832,False,0.1005,-0.053700000000000005,"Q4
(largest)",Q4
COOBA,wagtail/wagtail,docker/compose,0.0843,0.0795,0.0085470085470085,0.2991452991452991,34586,572,285999,404,False,0.2792,-0.19490000000000002,"Q1
(smallest)",Q2
COOBA,numpy/numpy,scikit-learn/scikit-learn,0.0294,0.0282,0.0217391304347826,0.0434782608695652,376169,228,276548,789,False,0.0281,0.001299999999999999,"Q4
(largest)",Q4
BLAZE,lightning-ai/lightning,ipython/ipython,0.1945,0.1797,0.1302,0.3491,77778,832,51387,366,False,0.2583,-0.06379999999999997,Q2,Q2
BLAZE,qiskit/qiskit,jupyterlab/jupyterlab,0.1547,0.1185,0.1,0.225,39372,197,435173,1336,False,0.0163,0.1384,"Q1
(smallest)",Q4
BLAZE,lightning-ai/lightning,ansible/ansible,0.0855,0.0769,0.0519,0.1429,348229,768,51387,366,False,0.1254,-0.039900000000000005,"Q4
(largest)",Q2
BLAZE,lightning-ai/lightning,wagtail/wagtail,0.0788,0.0756,0.0488,0.1341,285999,404,51387,366,False,0.1102,-0.03140000000000001,Q3,Q2
BLAZE,ansible/ansible,lightning-ai/lightning,0.2853,0.2288,0.12,0.6,51387,366,348229,768,True,0.3546,-0.06930000000000003,"Q1
(smallest)",Q3
BLAZE,lightning-ai/lightning,localstack/localstack,0.1574,0.1237,0.0842,0.3158,571611,472,51387,366,False,0.1986,-0.04119999999999999,"Q4
(largest)",Q2
BLAZE,prefecthq/prefect,mesonbuild/meson,0.1634,0.149,0.1058,0.291,121402,937,107073,404,False,0.1723,-0.008900000000000019,Q2,Q2
BLAZE,localstack/localstack,lightning-ai/lightning,0.2952,0.2345,0.1333,0.7067,51387,366,571611,472,True,0.3213,-0.026099999999999957,"Q1
(smallest)",Q3
BLAZE,prefecthq/prefect,wagtail/wagtail,0.1529,0.1394,0.122,0.2439,285999,404,107073,404,False,0.0937,0.0592,Q3,Q2
BLAZE,prefecthq/prefect,ansible/ansible,0.0352,0.0313,0.013,0.0974,348229,768,107073,404,False,0.1262,-0.091,"Q4
(largest)",Q2
BLAZE,ansible/ansible,prefecthq/prefect,0.2654,0.2186,0.1585,0.5122,107073,404,348229,768,True,0.2694,-0.003999999999999948,Q2,Q3
BLAZE,numpy/numpy,localstack/localstack,0.0924,0.0634,0.0316,0.2526,571611,472,276548,789,False,0.1881,-0.0957,"Q4
(largest)",Q4
BLAZE,numpy/numpy,mesonbuild/meson,0.1585,0.1456,0.0952,0.3069,121402,937,276548,789,False,0.1998,-0.0413,Q2,Q4
BLAZE,localstack/localstack,numpy/numpy,0.2572,0.2403,0.1615,0.472,276548,789,571611,472,True,0.3414,-0.0842,Q3,Q3
BLAZE,numpy/numpy,qiskit/qiskit,0.1681,0.1368,0.1029,0.3088,435173,1336,276548,789,False,0.2538,-0.08570000000000003,"Q4
(largest)",Q4
BLAZE,qiskit/qiskit,numpy/numpy,0.2305,0.2216,0.1304,0.4224,276548,789,435173,1336,True,0.3808,-0.15030000000000002,Q3,Q4
BLAZE,ipython/ipython,docker/compose,0.2452,0.2131,0.1111,0.5556,34586,572,77778,832,True,0.2425,0.002700000000000008,"Q1
(smallest)",Q4
BLAZE,docker/compose,ipython/ipython,0.1592,0.1411,0.1006,0.2485,77778,832,34586,572,False,0.2599,-0.10070000000000001,Q2,Q3
BLAZE,wagtail/wagtail,docker/compose,0.2464,0.2181,0.1111,0.5641,34586,572,285999,404,True,0.3702,-0.12379999999999997,"Q1
(smallest)",Q2
TRANP-CNN,jupyterlab/jupyterlab,lightning-ai/lightning,0.0098,0.0121,0.0,0.0,51387,366,39372,197,False,0.3107,-0.3009,"Q1
(smallest)",Q1
TRANP-CNN,lightning-ai/lightning,jupyterlab/jupyterlab,0.0139,0.0141,0.0,0.05,39372,197,51387,366,False,0.2672,-0.25329999999999997,"Q1
(smallest)",Q2
TRANP-CNN,jupyterlab/jupyterlab,numpy/numpy,0.0366,0.0337,0.0186,0.0683,276548,789,39372,197,False,0.0989,-0.0623,Q3,Q1
TRANP-CNN,numpy/numpy,jupyterlab/jupyterlab,0.002,0.0021,0.0,0.0,39372,197,276548,789,False,0.3136,-0.3116,"Q1
(smallest)",Q4
TRANP-CNN,jupyterlab/jupyterlab,mesonbuild/meson,0.0701,0.0638,0.0212,0.1799,121402,937,39372,197,False,0.117,-0.04690000000000001,Q2,Q1
TRANP-CNN,mesonbuild/meson,jupyterlab/jupyterlab,0.0031,0.0032,0.0,0.0,39372,197,121402,937,False,0.2149,-0.21180000000000002,"Q1
(smallest)",Q4
TRANP-CNN,jupyterlab/jupyterlab,localstack/localstack,0.0111,0.011,0.0,0.0211,571611,472,39372,197,False,0.1312,-0.12010000000000001,"Q4
(largest)",Q1
TRANP-CNN,jupyterlab/jupyterlab,prefecthq/prefect,0.0507,0.0395,0.0,0.1585,107073,404,39372,197,False,0.1874,-0.13670000000000002,Q2,Q1
TRANP-CNN,jupyterlab/jupyterlab,pydata/xarray,0.0283,0.0252,0.0,0.08,142044,110,39372,197,False,0.1496,-0.12130000000000002,Q3,Q1
TRANP-CNN,prefecthq/prefect,jupyterlab/jupyterlab,0.0996,0.0978,0.025,0.325,39372,197,107073,404,False,0.2288,-0.1292,"Q1
(smallest)",Q2
TRANP-CNN,pydata/xarray,jupyterlab/jupyterlab,0.0404,0.0415,0.0,0.15,39372,197,142044,110,False,0.3054,-0.265,"Q1
(smallest)",Q1
TRANP-CNN,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.0047,0.0046,0.0,0.0,376169,228,39372,197,False,0.0065,-0.0017999999999999995,"Q4
(largest)",Q1
TRANP-CNN,jupyterlab/jupyterlab,ipython/ipython,0.0041,0.0042,0.0,0.0,77778,832,39372,197,False,0.0558,-0.0517,Q2,Q1
TRANP-CNN,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.0042,0.0043,0.0,0.0,39372,197,376169,228,False,0.3619,-0.3577,"Q1
(smallest)",Q2
TRANP-CNN,jupyterlab/jupyterlab,docker/compose,0.2115,0.1805,0.094,0.5726,34586,572,39372,197,True,0.47,-0.25849999999999995,"Q1
(smallest)",Q1
TRANP-CNN,ipython/ipython,jupyterlab/jupyterlab,0.0459,0.0445,0.0,0.15,39372,197,77778,832,False,0.2961,-0.2502,"Q1
(smallest)",Q4
TRANP-CNN,docker/compose,jupyterlab/jupyterlab,0.1498,0.1366,0.025,0.375,39372,197,34586,572,False,0.3161,-0.1663,"Q1
(smallest)",Q3
TRANP-CNN,jupyterlab/jupyterlab,wagtail/wagtail,0.0302,0.0258,0.0122,0.0732,285999,404,39372,197,False,0.0541,-0.0239,Q3,Q1
TRANP-CNN,jupyterlab/jupyterlab,ansible/ansible,0.0043,0.0041,0.0,0.013,348229,768,39372,197,False,0.0121,-0.0078,"Q4
(largest)",Q1
TRANP-CNN,wagtail/wagtail,jupyterlab/jupyterlab,0.0019,0.002,0.0,0.0,39372,197,285999,404,False,0.2321,-0.2302,"Q1
(smallest)",Q2
TRANP-CNN,lightning-ai/lightning,prefecthq/prefect,0.146,0.1075,0.0854,0.2683,107073,404,51387,366,False,0.2089,-0.06290000000000001,Q2,Q2
TRANP-CNN,ansible/ansible,jupyterlab/jupyterlab,0.065,0.0628,0.025,0.125,39372,197,348229,768,False,0.3269,-0.2619,"Q1
(smallest)",Q3
TRANP-CNN,prefecthq/prefect,lightning-ai/lightning,0.0608,0.054,0.0,0.2133,51387,366,107073,404,False,0.3441,-0.2833,"Q1
(smallest)",Q2
TRANP-CNN,localstack/localstack,jupyterlab/jupyterlab,0.0052,0.0049,0.0,0.0,39372,197,571611,472,False,0.3303,-0.3251,"Q1
(smallest)",Q3
TRANP-CNN,lightning-ai/lightning,pydata/xarray,0.0093,0.0104,0.0,0.0,142044,110,51387,366,False,0.1972,-0.18789999999999998,Q3,Q2
TRANP-CNN,lightning-ai/lightning,scikit-learn/scikit-learn,0.009,0.0082,0.0,0.0435,376169,228,51387,366,False,0.0379,-0.028900000000000002,"Q4
(largest)",Q2
TRANP-CNN,pydata/xarray,lightning-ai/lightning,0.0127,0.016,0.0,0.0267,51387,366,142044,110,False,0.3943,-0.3816,"Q1
(smallest)",Q1
TRANP-CNN,jupyterlab/jupyterlab,qiskit/qiskit,0.0035,0.0059,0.0,0.0,435173,1336,39372,197,False,0.1405,-0.137,"Q4
(largest)",Q1
TRANP-CNN,scikit-learn/scikit-learn,lightning-ai/lightning,0.0133,0.0148,0.0,0.0,51387,366,376169,228,False,0.3365,-0.32320000000000004,"Q1
(smallest)",Q2
TRANP-CNN,lightning-ai/lightning,ipython/ipython,0.004,0.0042,0.0,0.0,77778,832,51387,366,False,0.095,-0.091,Q2,Q2
TRANP-CNN,lightning-ai/lightning,ansible/ansible,0.0006,0.0006,0.0,0.0,348229,768,51387,366,False,0.0158,-0.015200000000000002,"Q4
(largest)",Q2
