model,comparison,metric,n_pairs,mean_delta,median_delta,std_delta,cohens_d,win_rate,n_wins,n_losses,median_win,median_loss,wilcoxon_p_gt
COOBA,CPT vs WPS,MAP,63,0.013706174962983396,0.0075386156970993,0.05729702637954501,0.23921267523014927,0.6031746031746031,38,25,0.022555381434300595,-0.019580972912523198,0.04607715235198057
COOBA,CPT vs WPS,top-1,63,0.018060171116177238,0.0,0.05989486534963591,0.30153120823882146,0.42857142857142855,27,17,0.036585365853658604,-0.024999999999999994,0.02413932461303545
COOBA,CPT vs WPS,top-5,63,0.02108165514810433,0.01058201058201061,0.10230526091196787,0.20606618819187386,0.5555555555555556,35,22,0.060975609756097504,-0.04379795396419434,0.04773225040879306
COOBA,CPT vs WPS,top-10,63,0.026519070627068216,0.008547008547008517,0.09152611937429223,0.28974319908199747,0.5555555555555556,35,18,0.031578947368421095,-0.04612937433722162,0.024070915980326648
COOBA,CPT vs WPL,MRR,63,-0.03638323995527235,-0.020963497807044998,0.059565698787849626,-0.6108085810401658,0.20634920634920634,13,50,0.021740383518831785,-0.03542657269750775,0.9999992031744533
COOBA,CPT vs WPL,MAP,63,-0.030753752039487024,-0.0164054867002818,0.04912178132448224,-0.6260715961487209,0.19047619047619047,12,51,0.010676935530351352,-0.0262617840145601,0.9999996412746646
COOBA,CPT vs WPL,top-1,63,-0.03631021229717438,-0.0177514792899408,0.06334742625085359,-0.5731915950837089,0.12698412698412698,8,39,0.0218167701863354,-0.04779411764705879,0.9999983207758559
COOBA,CPT vs WPL,top-5,63,-0.04242224154387133,-0.012422360248447187,0.08935997461735455,-0.47473426134604707,0.15873015873015872,10,39,0.04605263157894739,-0.05514705882352938,0.9999763615839634
COOBA,CPT vs WPL,top-10,63,-0.030159853141622554,-0.013333333333333308,0.06456238726351067,-0.4671427811138,0.20634920634920634,13,39,0.025000000000000022,-0.0434782608695652,0.9999003828158158
COOBA,CPC vs WPS,MRR,63,-0.11128087635523654,-0.0934043348710175,0.0960308533888656,-1.1588033681697878,0.06349206349206349,4,59,0.0118782959600315,-0.09838303712145739,0.9999999999910912
COOBA,CPC vs WPS,MAP,63,-0.09774753128142108,-0.0787185237999506,0.08188780119420662,-1.1936763456329866,0.047619047619047616,3,60,0.008355834270703098,-0.0837103903976506,0.9999999999951832
COOBA,CPC vs WPS,top-1,63,-0.049384014233351065,-0.0257352941176471,0.06462193226273868,-0.7641989724566952,0.06349206349206349,4,45,0.032608695652173905,-0.05,0.9999999954039739
COOBA,CPC vs WPS,top-5,63,-0.1815388922278599,-0.1587301587301587,0.1686003617050456,-1.0767408230443143,0.031746031746031744,2,55,0.02810559006211181,-0.1789473684210527,0.9999999999874063
COOBA,CPC vs WPS,top-10,63,-0.2535134833409118,-0.2205882352941177,0.1930571659920835,-1.313152412852198,0.0,0,61,,-0.2210526315789474,0.9999999999972258
COOBA,WPL vs WPS,MRR,63,0.0541151389791373,0.038520212188220604,0.0630007991339436,0.858959564371321,0.8571428571428571,54,9,0.0485553305050689,-0.007008915136362301,2.5090185246871574e-09
COOBA,WPL vs WPS,MAP,63,0.044459927002470416,0.034457118549955194,0.05304978404944016,0.8380793211341943,0.8888888888888888,56,7,0.03907050300005471,-0.007603742188976803,1.404237690065328e-09
COOBA,WPL vs WPS,top-1,63,0.054370383413351604,0.0372670807453416,0.06689387808102021,0.812785638582645,0.7301587301587301,46,7,0.0513157894736842,-0.02439024390243899,1.0744743753136015e-08
COOBA,WPL vs WPS,top-5,63,0.06350389669197566,0.053333333333333344,0.0822509391574111,0.7720750345530096,0.8253968253968254,52,8,0.07077340004169272,-0.0343859649122807,1.0703503520920754e-08
COOBA,WPL vs WPS,top-10,63,0.05667892376869077,0.029411764705882304,0.07976649671592291,0.710560524809617,0.8253968253968254,52,5,0.03863354037267079,-0.02439024390243899,2.3919957981771912e-09
TRANP-CNN,CPT vs WPS,MRR,63,0.054188888888888884,0.04149999999999998,0.09170991452912312,0.5908727444259129,0.6825396825396826,43,20,0.06829999999999997,-0.0247,3.192314437839732e-05
TRANP-CNN,CPT vs WPS,MAP,63,0.04912222222222222,0.024500000000000022,0.08752981325174472,0.5612056098068171,0.7142857142857143,45,17,0.0431,-0.029799999999999993,3.333660611361854e-05
TRANP-CNN,CPT vs WPS,top-1,63,0.027257142857142855,0.010599999999999998,0.0610305177872717,0.44661496977873427,0.5396825396825397,34,22,0.048049999999999995,-0.021849999999999994,0.0025769312180675473
TRANP-CNN,CPT vs WPS,top-5,63,0.03277619047619047,0.02439999999999999,0.06158694015906849,0.5321938448563154,0.6031746031746031,38,17,0.04999999999999999,-0.02210000000000001,0.0001458178584998584
TRANP-CNN,CPT vs WPS,top-10,63,0.01943650793650794,0.0,0.0609695198878156,0.3187905689969557,0.47619047619047616,30,19,0.03384999999999999,-0.025000000000000022,0.019524994794835066
TRANP-CNN,CPT vs WPL,MRR,63,-0.008611111111111111,-0.0002999999999999947,0.0728353448210217,-0.11822709334693471,0.49206349206349204,31,32,0.0393,-0.052700000000000025,0.8132660206857263
TRANP-CNN,CPT vs WPL,MAP,63,-0.011601587301587297,-0.017400000000000027,0.06667232702544754,-0.17400903522025254,0.3968253968253968,25,38,0.03510000000000002,-0.040150000000000005,0.9662184546033497
TRANP-CNN,CPT vs WPL,top-1,63,0.002111111111111111,0.0,0.05445498914051775,0.03876800169151661,0.47619047619047616,30,26,0.02500000000000001,-0.028249999999999997,0.35961310644346123
TRANP-CNN,CPT vs WPL,top-5,63,-0.0074904761904761915,0.0,0.047880279846265326,-0.1564417796747788,0.38095238095238093,24,31,0.025000000000000022,-0.025000000000000022,0.7875155959829798
TRANP-CNN,CPT vs WPL,top-10,63,-0.017080952380952374,-0.006199999999999983,0.05233951772043159,-0.3263490594657226,0.15873015873015872,10,34,0.042800000000000005,-0.036899999999999995,0.9992014502104221
TRANP-CNN,CPC vs WPS,MRR,63,-0.25106349206349204,-0.1964,0.15650627041090523,-1.6041752921740964,0.0,0,63,,-0.1964,0.9999999999974162
TRANP-CNN,CPC vs WPS,MAP,63,-0.22289841269841273,-0.1733,0.14757024952823972,-1.5104562973294822,0.0,0,63,,-0.1733,0.9999999999974158
TRANP-CNN,CPC vs WPS,top-1,63,-0.09632698412698414,-0.0529,0.08983800691199188,-1.072229754844729,0.0,0,57,,-0.0731,0.999999999995757
TRANP-CNN,CPC vs WPS,top-5,63,-0.21906190476190476,-0.1538,0.178654957975469,-1.2261731062173156,0.0,0,62,,-0.15689999999999998,0.9999999999973558
TRANP-CNN,CPC vs WPS,top-10,63,-0.2558126984126984,-0.1957,0.2014178384418846,-1.2700597940658986,0.0,0,62,,-0.19785000000000003,0.9999999999973569
TRANP-CNN,WPL vs WPS,MRR,63,0.06280000000000001,0.04300000000000001,0.0750285279077232,0.8370149561942235,0.7936507936507936,50,13,0.05584999999999998,-0.01909999999999995,2.0031310662682965e-08
TRANP-CNN,WPL vs WPS,MAP,63,0.06072380952380951,0.04949999999999999,0.06793614106403756,0.8938366026202519,0.8095238095238095,51,12,0.06019999999999992,-0.013899999999999996,7.199535763075049e-09
TRANP-CNN,WPL vs WPS,top-1,63,0.025146031746031746,0.0186,0.05163294405143223,0.48701526143819085,0.6190476190476191,39,17,0.04,-0.025000000000000022,0.0002899635908849267
TRANP-CNN,WPL vs WPS,top-5,63,0.040266666666666666,0.024900000000000005,0.0786397748823608,0.5120394447581084,0.7142857142857143,45,9,0.041499999999999995,-0.026700000000000057,6.311281334101906e-07
TRANP-CNN,WPL vs WPS,top-10,63,0.036517460317460324,0.021800000000000014,0.0792805706574351,0.4606104624959033,0.6031746031746031,38,9,0.04274999999999998,-0.025000000000000022,4.6790476812452746e-06
