model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR,MAP_uncorrected,MRR_uncorrected,n_reachable,n_test,denominator_corrected
COOBA,ansible/ansible,jupyterlab/jupyterlab,CP-cold-start,0.025,0.1,0.15,0.044,0.0573,0.0440082816564832,0.057274643730835,20,40,no
COOBA,docker/compose,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.005,0.0066,0.0049842922103478,0.0065605317772479,20,40,no
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,WP-large,0.0423280423280423,0.1322751322751322,0.2063492063492063,0.0844,0.0895,0.0844114246732753,0.0894901397269549,47,189,no
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,CP-cold-start,0.0,0.0,0.0,0.0013,0.001,0.0012834470579104,0.0010007080131026,47,189,no
COOBA,docker/compose,jupyterlab/jupyterlab,CP-transfer,0.05,0.4,0.5,0.1755,0.1922,0.175515873015873,0.1921825396825396,20,40,no
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,CP-transfer,0.0264550264550264,0.1164021164021164,0.1904761904761904,0.068,0.0703,0.0680059379729935,0.0702570201109014,47,189,no
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,WP-small,0.0588235294117647,0.1801470588235294,0.2463235294117647,0.0961,0.1172,0.096051957200852,0.1172468319758935,119,272,no
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,WP-small,0.15,0.375,0.5,0.2383,0.2424,0.2382539682539682,0.2424206349206349,20,40,no
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,WP-large,0.075,0.2,0.425,0.1308,0.143,0.1308264998889999,0.1429594363969363,20,40,no
COOBA,ansible/ansible,jupyterlab/jupyterlab,CP-transfer,0.025,0.075,0.3,0.0817,0.0893,0.0816791990689049,0.0892675829072887,20,40,no
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,WP-small,0.0,0.024390243902439,0.0853658536585365,0.0161,0.0162,0.0161195485635658,0.0162145273425761,13,82,no
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,WP-large,0.0609756097560975,0.0975609756097561,0.1097560975609756,0.0641,0.0771,0.0640682374540014,0.0770727423316387,13,82,no
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,CP-cold-start,0.0,0.0,0.0365853658536585,0.0066,0.0075,0.0066271480262484,0.007538610543775,13,82,no
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,CP-transfer,0.0,0.073170731707317,0.0975609756097561,0.0264,0.0322,0.0264139143709815,0.0322384593726057,13,82,no
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.025,0.0109,0.0109,0.0108945678541622,0.0108795994670365,20,40,no
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,WP-small,0.0,0.175,0.45,0.1144,0.112,0.1144388597513597,0.1119627594627594,20,40,no
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,WP-large,0.15,0.4,0.475,0.2404,0.2515,0.2404274891774891,0.2514691558441558,20,40,no
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,WP-large,0.088235294117647,0.2095588235294117,0.25,0.1103,0.1408,0.1102693000202124,0.1408368488930799,119,272,no
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,CP-cold-start,0.05,0.225,0.45,0.1238,0.1342,0.1237692168942169,0.1341858835608835,20,40,no
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,CP-cold-start,0.0073529411764705,0.0183823529411764,0.0588235294117647,0.0219,0.0238,0.0218604463503698,0.023842497104876,119,272,no
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,CP-transfer,0.2,0.4,0.475,0.2998,0.2991,0.2997603785103785,0.299065934065934,20,40,no
COOBA,lightning-ai/lightning,pydata/xarray,WP-small,0.0,0.08,0.2,0.0761,0.0857,0.0761087470583503,0.0856816824445615,25,25,no
COOBA,lightning-ai/lightning,pydata/xarray,WP-large,0.08,0.2,0.44,0.1648,0.1818,0.1648109266020483,0.1817592938107644,25,25,no
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,CP-transfer,0.0404411764705882,0.1544117647058823,0.213235294117647,0.0765,0.0938,0.0764709842883288,0.0937722743818388,119,272,no
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,WP-small,0.05,0.35,0.5,0.173,0.1774,0.1729761904761904,0.1773511904761904,20,40,no
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,WP-large,0.225,0.45,0.5,0.2857,0.3078,0.2856944444444444,0.3077777777777778,20,40,no
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,CP-transfer,0.0,0.2,0.425,0.0935,0.0908,0.0935351800976801,0.0907722832722832,20,40,no
COOBA,jupyterlab/jupyterlab,localstack/localstack,WP-small,0.0631578947368421,0.1894736842105263,0.3052631578947368,0.1076,0.1414,0.107620533748678,0.1414126137596389,70,95,no
COOBA,lightning-ai/lightning,pydata/xarray,CP-cold-start,0.0,0.08,0.08,0.0241,0.0279,0.0240832993539797,0.0279416016725523,25,25,no
COOBA,jupyterlab/jupyterlab,localstack/localstack,WP-large,0.1052631578947368,0.2210526315789473,0.3263157894736842,0.138,0.1788,0.1379858771624574,0.1787632126468112,70,95,no
COOBA,jupyterlab/jupyterlab,localstack/localstack,CP-cold-start,0.0,0.0105263157894736,0.0421052631578947,0.0259,0.029,0.0259443642498088,0.0289924572176641,70,95,no
COOBA,jupyterlab/jupyterlab,localstack/localstack,CP-transfer,0.0947368421052631,0.231578947368421,0.3157894736842105,0.1296,0.1695,0.1296123887640469,0.169465818917244,70,95,no
COOBA,localstack/localstack,jupyterlab/jupyterlab,WP-small,0.05,0.375,0.475,0.2081,0.2072,0.2080642186452045,0.2072308853118712,20,40,no
COOBA,lightning-ai/lightning,pydata/xarray,CP-transfer,0.0,0.2,0.44,0.1016,0.103,0.1015690009050989,0.1029619813482551,25,25,no
COOBA,pydata/xarray,lightning-ai/lightning,WP-small,0.0133333333333333,0.3466666666666667,0.48,0.1259,0.1504,0.1258556147665379,0.1503917889461968,74,75,no
COOBA,localstack/localstack,jupyterlab/jupyterlab,WP-large,0.15,0.475,0.5,0.2625,0.2762,0.2625,0.27625,20,40,no
COOBA,pydata/xarray,lightning-ai/lightning,WP-large,0.2666666666666666,0.4933333333333333,0.6933333333333334,0.3273,0.4053,0.3273235827874108,0.4053220463249657,74,75,no
COOBA,pydata/xarray,lightning-ai/lightning,CP-cold-start,0.0,0.0133333333333333,0.0933333333333333,0.0318,0.0379,0.0318131059260884,0.0379189195653747,74,75,no
COOBA,localstack/localstack,jupyterlab/jupyterlab,CP-cold-start,0.025,0.075,0.075,0.0394,0.0415,0.0393755026409026,0.0415463471816803,20,40,no
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0021,0.002,0.002109134790859,0.0019825113411594,20,40,no
COOBA,pydata/xarray,lightning-ai/lightning,CP-transfer,0.0933333333333333,0.56,0.6666666666666666,0.2699,0.3125,0.2699322006891098,0.3124646861744327,74,75,no
COOBA,lightning-ai/lightning,ipython/ipython,WP-small,0.0059171597633136,0.0236686390532544,0.059171597633136,0.029,0.0343,0.0289783445485471,0.0342978299919618,98,169,no
COOBA,localstack/localstack,jupyterlab/jupyterlab,CP-transfer,0.15,0.275,0.475,0.2208,0.2205,0.2207747113997114,0.2204969336219336,20,40,no
COOBA,lightning-ai/lightning,prefecthq/prefect,WP-small,0.1341463414634146,0.2195121951219512,0.3170731707317073,0.1466,0.187,0.1466391221864868,0.1869520648765172,42,82,no
COOBA,lightning-ai/lightning,ipython/ipython,WP-large,0.0414201183431952,0.1538461538461538,0.1952662721893491,0.0803,0.0959,0.0802889268129152,0.0959362218588929,98,169,no
COOBA,lightning-ai/lightning,prefecthq/prefect,WP-large,0.1097560975609756,0.2682926829268293,0.3536585365853658,0.1531,0.1829,0.1531474216790978,0.1828843254394002,42,82,no
COOBA,lightning-ai/lightning,ipython/ipython,CP-cold-start,0.0,0.0,0.0,0.0041,0.0039,0.0041268644890799,0.0038962106420015,98,169,no
COOBA,lightning-ai/lightning,prefecthq/prefect,CP-cold-start,0.0,0.0,0.0,0.0084,0.0053,0.0084009548261514,0.00528972844566,42,82,no
COOBA,lightning-ai/lightning,prefecthq/prefect,CP-transfer,0.1097560975609756,0.2560975609756097,0.3536585365853658,0.1493,0.1862,0.1492590211025167,0.1861734732964174,42,82,no
COOBA,prefecthq/prefect,lightning-ai/lightning,WP-small,0.2133333333333333,0.5333333333333333,0.6533333333333333,0.2899,0.3609,0.2898676664410867,0.360904712873294,74,75,no
COOBA,lightning-ai/lightning,ipython/ipython,CP-transfer,0.0236686390532544,0.1242603550295858,0.2011834319526627,0.0678,0.075,0.0677599277527532,0.0749727240518479,98,169,no
COOBA,prefecthq/prefect,lightning-ai/lightning,WP-large,0.2933333333333333,0.5333333333333333,0.6533333333333333,0.3309,0.416,0.3309058451098416,0.4159567913175994,74,75,no
COOBA,prefecthq/prefect,lightning-ai/lightning,CP-cold-start,0.0,0.0533333333333333,0.0933333333333333,0.0389,0.0459,0.0388901216452521,0.0459014792484654,74,75,no
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,CP-transfer,0.0,0.175,0.5,0.0955,0.093,0.095500992063492,0.0930357142857142,20,40,no
COOBA,lightning-ai/lightning,numpy/numpy,WP-small,0.0124223602484472,0.0869565217391304,0.1677018633540372,0.0556,0.0581,0.05557956176238,0.0581096031839664,69,161,no
COOBA,prefecthq/prefect,lightning-ai/lightning,CP-transfer,0.24,0.5333333333333333,0.64,0.2608,0.3639,0.2608009944567441,0.3638553035988105,74,75,no
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,WP-small,0.0,0.0869565217391304,0.1304347826086956,0.0426,0.0446,0.0426333313849993,0.0446215408755717,13,46,no
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,WP-large,0.0217391304347826,0.0434782608695652,0.0652173913043478,0.0439,0.0435,0.0438524022335736,0.04353271408898,13,46,no
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,CP-cold-start,0.0434782608695652,0.0652173913043478,0.108695652173913,0.051,0.0608,0.0509891656557024,0.060817064206427,13,46,no
COOBA,lightning-ai/lightning,numpy/numpy,WP-large,0.0496894409937888,0.1366459627329192,0.217391304347826,0.09,0.1015,0.0900366803123352,0.101524306452817,69,161,no
COOBA,lightning-ai/lightning,numpy/numpy,CP-cold-start,0.0,0.0,0.0,0.0027,0.002,0.0026519554705554,0.0019910796381845,69,161,no
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,CP-transfer,0.0217391304347826,0.0434782608695652,0.108695652173913,0.048,0.0479,0.0480145165991101,0.0478716479779806,13,46,no
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,WP-small,0.28,0.5333333333333333,0.6666666666666666,0.3031,0.4014,0.3030903669851029,0.4014136698449859,74,75,no
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,WP-large,0.2266666666666666,0.5066666666666667,0.68,0.2784,0.3588,0.2784405502237795,0.3587735359345952,74,75,no
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,CP-cold-start,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.018,0.0224,0.0179957926573653,0.0223967229160686,74,75,no
COOBA,lightning-ai/lightning,numpy/numpy,CP-transfer,0.0124223602484472,0.0993788819875776,0.1304347826086956,0.0638,0.0657,0.0637748962977751,0.065703701474047,69,161,no
COOBA,numpy/numpy,lightning-ai/lightning,WP-small,0.1466666666666666,0.4933333333333333,0.6533333333333333,0.2637,0.3262,0.2636568007596599,0.3261502440286257,74,75,no
COOBA,numpy/numpy,lightning-ai/lightning,WP-large,0.2933333333333333,0.5866666666666667,0.7333333333333333,0.3432,0.4336,0.3431935190571171,0.4335510322215756,74,75,no
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,CP-transfer,0.32,0.52,0.6666666666666666,0.3262,0.4367,0.3262092748383352,0.4366976411422189,74,75,no
COOBA,lightning-ai/lightning,ansible/ansible,WP-small,0.0,0.0064935064935064,0.0129870129870129,0.006,0.0061,0.0059831310475753,0.0060512873338439,15,154,no
COOBA,lightning-ai/lightning,ansible/ansible,WP-large,0.0,0.0194805194805194,0.0194805194805194,0.0054,0.0055,0.0053948469033412,0.0055286952669908,15,154,no
COOBA,numpy/numpy,lightning-ai/lightning,CP-cold-start,0.0266666666666666,0.1066666666666666,0.1066666666666666,0.0747,0.0771,0.0747419178710484,0.0770772748968921,74,75,no
BLAZE,jupyterlab/jupyterlab,ipython/ipython,WP-small,0.2308,0.4734,0.5858,0.3119,0.3555,0.3119,0.3555,169,169,yes
COOBA,lightning-ai/lightning,ansible/ansible,CP-cold-start,0.0,0.0,0.0064935064935064,0.0024,0.0024,0.0023907147511016,0.0023954475139233,15,154,no
COOBA,lightning-ai/lightning,ansible/ansible,CP-transfer,0.0,0.0129870129870129,0.0129870129870129,0.0084,0.0084,0.0083727355577562,0.0084002445837592,15,154,no
COOBA,ansible/ansible,lightning-ai/lightning,WP-small,0.0666666666666666,0.4,0.5866666666666667,0.1892,0.2252,0.1891727520734335,0.2251551432672015,74,75,no
COOBA,ansible/ansible,lightning-ai/lightning,WP-large,0.28,0.52,0.6933333333333334,0.3266,0.4006,0.3266353667118947,0.40060261615883,74,75,no
COOBA,ansible/ansible,lightning-ai/lightning,CP-cold-start,0.0133333333333333,0.0666666666666666,0.1466666666666666,0.0463,0.0516,0.0463140118161065,0.0516143731771099,74,75,no
COOBA,numpy/numpy,lightning-ai/lightning,CP-transfer,0.0533333333333333,0.44,0.6533333333333333,0.2085,0.252,0.2085365831570826,0.2520085696708128,74,75,no
COOBA,ansible/ansible,lightning-ai/lightning,CP-transfer,0.2933333333333333,0.52,0.6133333333333333,0.3256,0.4223,0.3255592587150862,0.4223429996776618,74,75,no
COOBA,lightning-ai/lightning,wagtail/wagtail,WP-small,0.0121951219512195,0.0609756097560975,0.0975609756097561,0.0242,0.0342,0.0241891935719201,0.0341749541175653,13,82,no
COOBA,lightning-ai/lightning,wagtail/wagtail,WP-large,0.0609756097560975,0.1097560975609756,0.1341463414634146,0.0674,0.0794,0.0674028146607191,0.0794315929195811,13,82,no
COOBA,lightning-ai/lightning,wagtail/wagtail,CP-cold-start,0.0,0.024390243902439,0.024390243902439,0.0069,0.0093,0.0069197102652059,0.0092724802992355,13,82,no
COOBA,lightning-ai/lightning,wagtail/wagtail,CP-transfer,0.0,0.0365853658536585,0.1097560975609756,0.0212,0.0233,0.0211513818261556,0.0232594084527653,13,82,no
COOBA,lightning-ai/lightning,localstack/localstack,WP-small,0.0421052631578947,0.2631578947368421,0.3052631578947368,0.1091,0.1432,0.1091218963070303,0.1431703619455817,70,95,no
COOBA,lightning-ai/lightning,localstack/localstack,WP-large,0.0736842105263157,0.2210526315789473,0.3263157894736842,0.1225,0.1607,0.1224966303291166,0.1606701035291202,70,95,no
COOBA,lightning-ai/lightning,localstack/localstack,CP-cold-start,0.0105263157894736,0.0421052631578947,0.0842105263157894,0.0234,0.0363,0.0233772850105983,0.0362721324442976,70,95,no
COOBA,lightning-ai/lightning,localstack/localstack,CP-transfer,0.0736842105263157,0.2631578947368421,0.3368421052631579,0.1193,0.1581,0.1193175984454234,0.1580892177551091,70,95,no
COOBA,localstack/localstack,lightning-ai/lightning,WP-small,0.16,0.5066666666666667,0.64,0.236,0.3129,0.2359685707582289,0.3128522471947559,74,75,no
COOBA,localstack/localstack,lightning-ai/lightning,WP-large,0.28,0.56,0.7333333333333333,0.3385,0.4247,0.3384838155298188,0.4247479292357156,74,75,no
COOBA,localstack/localstack,lightning-ai/lightning,CP-cold-start,0.0266666666666666,0.3066666666666666,0.4266666666666667,0.1005,0.1485,0.1004514570189656,0.1484707115246822,74,75,no
BLAZE,jupyterlab/jupyterlab,ipython/ipython,WP-large,0.3136,0.6213,0.7337,0.3896,0.4524,0.3896,0.4524,169,169,yes
BLAZE,jupyterlab/jupyterlab,ipython/ipython,CP-cold-start,0.1065,0.2604,0.3254,0.1606,0.1894,0.1606,0.1894,169,169,yes
BLAZE,jupyterlab/jupyterlab,ipython/ipython,CP-transfer,0.2722,0.5385,0.6272,0.3403,0.3918,0.3403,0.3918,169,169,yes
BLAZE,ipython/ipython,jupyterlab/jupyterlab,WP-small,0.175,0.325,0.475,0.2018,0.2615,0.2124,0.2753,38,40,yes
BLAZE,ipython/ipython,jupyterlab/jupyterlab,WP-large,0.325,0.5,0.575,0.3356,0.4087,0.3532,0.4302,38,40,yes
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,WP-small,0.0,0.0,0.0869565217391304,0.0212,0.02,0.021177045424084,0.0200007366710489,13,46,no
COOBA,localstack/localstack,lightning-ai/lightning,CP-transfer,0.28,0.52,0.6666666666666666,0.3238,0.4165,0.3237678552464799,0.4165016612273669,74,75,no
BLAZE,ipython/ipython,jupyterlab/jupyterlab,CP-cold-start,0.225,0.375,0.45,0.2313,0.3094,0.2435,0.3257,38,40,yes
COOBA,prefecthq/prefect,pydata/xarray,WP-small,0.04,0.24,0.32,0.1383,0.1612,0.1382855819449038,0.1611918376131896,25,25,no
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,WP-large,0.0,0.0217391304347826,0.0652173913043478,0.0236,0.0232,0.0235515869467276,0.023172014828025,13,46,no
COOBA,prefecthq/prefect,pydata/xarray,WP-large,0.16,0.32,0.36,0.2202,0.2701,0.2202156590829032,0.2700765845761575,25,25,no
BLAZE,ipython/ipython,jupyterlab/jupyterlab,CP-transfer,0.275,0.475,0.55,0.2788,0.374,0.2935,0.3937,38,40,yes
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,WP-small,0.2011,0.4233,0.5344,0.2529,0.3114,0.2542,0.313,188,189,yes
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,WP-large,0.3228,0.6138,0.7249,0.3944,0.4564,0.3965,0.4588,188,189,yes
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0,0.0012,0.0011,0.0012279219009845,0.0011343804912337,13,46,no
COOBA,prefecthq/prefect,pydata/xarray,CP-cold-start,0.0,0.0,0.0,0.0079,0.0064,0.0078521202445344,0.0063884632714202,25,25,no
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,CP-cold-start,0.0847,0.3069,0.3915,0.1625,0.1949,0.1633,0.196,188,189,yes
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,CP-transfer,0.0,0.0217391304347826,0.108695652173913,0.0287,0.0284,0.0287156611211833,0.0284088787092219,13,46,no
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,WP-small,0.0975609756097561,0.1951219512195122,0.3170731707317073,0.1216,0.1552,0.1216293858863392,0.1551825477069765,42,82,no
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,WP-large,0.1463414634146341,0.2682926829268293,0.3536585365853658,0.1688,0.207,0.1688447166220605,0.2070365699150985,42,82,no
COOBA,prefecthq/prefect,pydata/xarray,CP-transfer,0.12,0.32,0.52,0.2109,0.2467,0.2109011414872423,0.2467085313718357,25,25,no
COOBA,pydata/xarray,prefecthq/prefect,WP-small,0.0975609756097561,0.2195121951219512,0.3048780487804878,0.129,0.1553,0.1289770736338512,0.1552757394277517,42,82,no
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,CP-cold-start,0.0,0.0,0.0,0.0071,0.0045,0.0071420943043403,0.0045390397678019,42,82,no
COOBA,pydata/xarray,prefecthq/prefect,WP-large,0.1219512195121951,0.2439024390243902,0.2804878048780488,0.1406,0.1767,0.1406267369366244,0.1767060949059888,42,82,no
COOBA,pydata/xarray,prefecthq/prefect,CP-cold-start,0.0,0.048780487804878,0.048780487804878,0.0146,0.0217,0.0146352240034146,0.0216814973686852,42,82,no
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,CP-transfer,0.1341463414634146,0.2560975609756097,0.3170731707317073,0.1533,0.1928,0.1533115860983855,0.1928372203198283,42,82,no
COOBA,prefecthq/prefect,ansible/ansible,WP-small,0.0064935064935064,0.0129870129870129,0.0129870129870129,0.0097,0.0097,0.0096982206795343,0.0097399917689049,15,154,no
COOBA,pydata/xarray,prefecthq/prefect,CP-transfer,0.0609756097560975,0.2317073170731707,0.3048780487804878,0.1177,0.1422,0.117660603590643,0.1421719598066178,42,82,no
COOBA,prefecthq/prefect,ansible/ansible,WP-large,0.0064935064935064,0.0129870129870129,0.0129870129870129,0.0108,0.0108,0.010813378985772,0.0107540532761847,15,154,no
COOBA,prefecthq/prefect,ansible/ansible,CP-cold-start,0.0,0.0,0.0,0.0013,0.0015,0.0013033375324435,0.0014859938881294,15,154,no
COOBA,prefecthq/prefect,ansible/ansible,CP-transfer,0.0,0.0129870129870129,0.0129870129870129,0.0088,0.0088,0.0088463157454,0.0088026094516937,15,154,no
COOBA,ansible/ansible,prefecthq/prefect,WP-small,0.1219512195121951,0.1951219512195122,0.3048780487804878,0.1415,0.1729,0.1414593173939684,0.1729128712521743,42,82,no
COOBA,ansible/ansible,prefecthq/prefect,WP-large,0.1463414634146341,0.2682926829268293,0.3536585365853658,0.1622,0.2129,0.1621796255219228,0.2128733296102377,42,82,no
COOBA,ansible/ansible,prefecthq/prefect,CP-cold-start,0.0121951219512195,0.048780487804878,0.073170731707317,0.0295,0.0391,0.0294744062171368,0.0391108403205656,42,82,no
COOBA,ansible/ansible,prefecthq/prefect,CP-transfer,0.1463414634146341,0.2682926829268293,0.3414634146341463,0.1677,0.2129,0.1677417807797693,0.2128662750365818,42,82,no
COOBA,prefecthq/prefect,wagtail/wagtail,WP-small,0.0121951219512195,0.0853658536585365,0.1097560975609756,0.0437,0.0521,0.0437232558127025,0.052120431706858,13,82,no
COOBA,prefecthq/prefect,wagtail/wagtail,WP-large,0.0609756097560975,0.0975609756097561,0.1341463414634146,0.0669,0.0795,0.0669326956014579,0.0795155195340773,13,82,no
COOBA,prefecthq/prefect,wagtail/wagtail,CP-cold-start,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.0055,0.0134,0.005513190311268,0.013411229293125,13,82,no
COOBA,prefecthq/prefect,wagtail/wagtail,CP-transfer,0.024390243902439,0.0975609756097561,0.1219512195121951,0.048,0.0494,0.0479784954697865,0.0494480656013456,13,82,no
COOBA,pydata/xarray,scikit-learn/scikit-learn,WP-small,0.0,0.0,0.0434782608695652,0.0176,0.0165,0.0175505568925184,0.0165399234385958,13,46,no
COOBA,pydata/xarray,scikit-learn/scikit-learn,WP-large,0.0,0.0217391304347826,0.0434782608695652,0.0234,0.0233,0.0234275295379472,0.0232672731276908,13,46,no
COOBA,pydata/xarray,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0434782608695652,0.0079,0.0079,0.0079409703381985,0.0078762783237329,13,46,no
COOBA,pydata/xarray,scikit-learn/scikit-learn,CP-transfer,0.0,0.0,0.0217391304347826,0.0168,0.0157,0.0167705467150602,0.015655838111915,13,46,no
COOBA,scikit-learn/scikit-learn,pydata/xarray,WP-small,0.0,0.08,0.28,0.0814,0.0861,0.081370083864888,0.0860697926480409,25,25,no
COOBA,scikit-learn/scikit-learn,pydata/xarray,WP-large,0.16,0.36,0.68,0.2537,0.302,0.2537085888437624,0.3020033004820239,25,25,no
COOBA,scikit-learn/scikit-learn,pydata/xarray,CP-cold-start,0.0,0.0,0.0,0.0079,0.0064,0.0078502904078962,0.0064187900117038,25,25,no
COOBA,scikit-learn/scikit-learn,pydata/xarray,CP-transfer,0.08,0.36,0.52,0.174,0.2057,0.1739918978438475,0.2056555152521685,25,25,no
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,CP-transfer,0.254,0.4921,0.6138,0.3045,0.37,0.3061,0.372,188,189,yes
BLAZE,mesonbuild/meson,jupyterlab/jupyterlab,WP-small,0.025,0.025,0.025,0.0397,0.0402,0.0418,0.0424,38,40,yes
BLAZE,mesonbuild/meson,jupyterlab/jupyterlab,WP-large,0.35,0.55,0.675,0.3606,0.4642,0.3795,0.4886,38,40,yes
BLAZE,mesonbuild/meson,jupyterlab/jupyterlab,CP-cold-start,0.125,0.375,0.475,0.1939,0.2526,0.2041,0.2659,38,40,yes
BLAZE,mesonbuild/meson,jupyterlab/jupyterlab,CP-transfer,0.3,0.425,0.5,0.2743,0.3769,0.2888,0.3967,38,40,yes
BLAZE,jupyterlab/jupyterlab,ansible/ansible,WP-small,0.2338,0.4286,0.5065,0.2696,0.3287,0.2696,0.3287,154,154,yes
BLAZE,jupyterlab/jupyterlab,ansible/ansible,WP-large,0.2468,0.5195,0.6169,0.3065,0.3698,0.3065,0.3698,154,154,yes
BLAZE,jupyterlab/jupyterlab,ansible/ansible,CP-cold-start,0.1299,0.2078,0.2727,0.1462,0.1849,0.1462,0.1849,154,154,yes
BLAZE,jupyterlab/jupyterlab,ansible/ansible,CP-transfer,0.2338,0.4416,0.539,0.2645,0.3346,0.2645,0.3346,154,154,yes
BLAZE,ansible/ansible,jupyterlab/jupyterlab,WP-small,0.0,0.025,0.025,0.0216,0.0214,0.0228,0.0225,38,40,yes
BLAZE,ansible/ansible,jupyterlab/jupyterlab,WP-large,0.4,0.55,0.7,0.3703,0.4867,0.3898,0.5124,38,40,yes
BLAZE,ansible/ansible,jupyterlab/jupyterlab,CP-cold-start,0.2,0.375,0.475,0.228,0.2797,0.24,0.2944,38,40,yes
BLAZE,ansible/ansible,jupyterlab/jupyterlab,CP-transfer,0.25,0.525,0.6,0.2781,0.3767,0.2928,0.3965,38,40,yes
BLAZE,jupyterlab/jupyterlab,docker/compose,WP-small,0.1026,0.2735,0.4615,0.1846,0.2014,0.1862,0.2031,116,117,yes
BLAZE,jupyterlab/jupyterlab,docker/compose,WP-large,0.4274,0.6239,0.6923,0.4412,0.5215,0.445,0.526,116,117,yes
BLAZE,jupyterlab/jupyterlab,docker/compose,CP-cold-start,0.0513,0.1026,0.1966,0.0858,0.1018,0.0866,0.1027,116,117,yes
BLAZE,jupyterlab/jupyterlab,docker/compose,CP-transfer,0.3162,0.6068,0.6752,0.3489,0.4361,0.3519,0.4398,116,117,yes
BLAZE,docker/compose,jupyterlab/jupyterlab,WP-small,0.0,0.025,0.025,0.0284,0.0277,0.0298,0.0291,38,40,yes
BLAZE,docker/compose,jupyterlab/jupyterlab,WP-large,0.35,0.6,0.675,0.3745,0.4695,0.3942,0.4942,38,40,yes
BLAZE,docker/compose,jupyterlab/jupyterlab,CP-cold-start,0.125,0.25,0.3,0.148,0.194,0.1558,0.2042,38,40,yes
BLAZE,docker/compose,jupyterlab/jupyterlab,CP-transfer,0.125,0.275,0.325,0.1669,0.2091,0.1757,0.2202,38,40,yes
BLAZE,jupyterlab/jupyterlab,localstack/localstack,WP-small,0.2105,0.4105,0.5474,0.1911,0.3125,0.1911,0.3125,95,95,yes
COOBA,numpy/numpy,qiskit/qiskit,WP-small,0.0588235294117647,0.2022058823529411,0.25,0.1017,0.1264,0.1016864698340864,0.1264197789208666,119,272,no
COOBA,numpy/numpy,qiskit/qiskit,WP-large,0.0992647058823529,0.2242647058823529,0.2794117647058823,0.1205,0.161,0.1205096794028823,0.1609854986917605,119,272,no
COOBA,numpy/numpy,qiskit/qiskit,CP-cold-start,0.0036764705882352,0.0110294117647058,0.0294117647058823,0.0129,0.0159,0.0129104019681301,0.0159255381449337,119,272,no
COOBA,numpy/numpy,qiskit/qiskit,CP-transfer,0.0441176470588235,0.1580882352941176,0.25,0.0837,0.1062,0.0837457964422536,0.1062136058369676,119,272,no
COOBA,qiskit/qiskit,numpy/numpy,WP-small,0.0062111801242236,0.0683229813664596,0.124223602484472,0.049,0.0515,0.0490262035003802,0.051515451646814,69,161,no
