model,source_project,target_project,src_wpl_mrr,cpt_mrr,wps_mrr,wpl_mrr,delta_mrr,tgt_LoC,tgt_n_bugs,transfer
BLAZE,numpy/numpy,prefecthq/prefect,0.4409,0.3943,0.2905,0.4907,0.1038,107073,404,positive
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,0.49971666666666664,0.5048,0.1121,0.5394,0.39270000000000005,376169,228,positive
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,0.51006,0.4729,0.3059,0.5145,0.16699999999999998,107073,404,positive
BLAZE,pydata/xarray,numpy/numpy,0.4974,0.4028,0.3838,0.4218,0.019000000000000017,276548,789,positive
BLAZE,numpy/numpy,pydata/xarray,0.4409,0.5023,0.187,0.4787,0.31529999999999997,142044,110,positive
BLAZE,pydata/xarray,scikit-learn/scikit-learn,0.4974,0.4586,0.2592,0.525,0.19940000000000002,376169,228,positive
BLAZE,scikit-learn/scikit-learn,pydata/xarray,0.51006,0.3791,0.234,0.5214,0.14509999999999998,142044,110,positive
BLAZE,numpy/numpy,scikit-learn/scikit-learn,0.4409,0.4784,0.1478,0.5117,0.3306,376169,228,positive
BLAZE,jupyterlab/jupyterlab,ipython/ipython,0.4579583333333333,0.3918,0.3555,0.4524,0.0363,77778,832,positive
BLAZE,ipython/ipython,jupyterlab/jupyterlab,0.4678,0.374,0.2615,0.4087,0.11249999999999999,39372,197,positive
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,0.4579583333333333,0.37,0.3114,0.4564,0.058599999999999985,121402,937,positive
BLAZE,mesonbuild/meson,jupyterlab/jupyterlab,0.47986666666666666,0.3769,0.0402,0.4642,0.3367,39372,197,positive
BLAZE,jupyterlab/jupyterlab,ansible/ansible,0.4579583333333333,0.3346,0.3287,0.3698,0.005900000000000016,348229,768,neutral
BLAZE,ansible/ansible,jupyterlab/jupyterlab,0.37566666666666665,0.3767,0.0214,0.4867,0.3553,39372,197,positive
BLAZE,jupyterlab/jupyterlab,docker/compose,0.4579583333333333,0.4361,0.2014,0.5215,0.2347,34586,572,positive
BLAZE,docker/compose,jupyterlab/jupyterlab,0.505,0.2091,0.0277,0.4695,0.1814,39372,197,positive
BLAZE,jupyterlab/jupyterlab,localstack/localstack,0.4579583333333333,0.2963,0.3125,0.3873,-0.016199999999999992,571611,472,negative
BLAZE,localstack/localstack,jupyterlab/jupyterlab,0.3849,0.3354,0.2215,0.4793,0.11389999999999997,39372,197,positive
BLAZE,jupyterlab/jupyterlab,wagtail/wagtail,0.4579583333333333,0.2548,0.1878,0.3239,0.06700000000000003,285999,404,positive
BLAZE,wagtail/wagtail,jupyterlab/jupyterlab,0.32716666666666666,0.3179,0.0251,0.4051,0.2928,39372,197,positive
BLAZE,jupyterlab/jupyterlab,qiskit/qiskit,0.4579583333333333,0.3944,0.3772,0.4652,0.017199999999999993,435173,1336,positive
BLAZE,lightning-ai/lightning,ipython/ipython,0.5348142857142857,0.376,0.3312,0.4784,0.044800000000000006,77778,832,positive
BLAZE,qiskit/qiskit,jupyterlab/jupyterlab,0.4567666666666667,0.3564,0.0429,0.4211,0.3135,39372,197,positive
BLAZE,lightning-ai/lightning,ansible/ansible,0.5348142857142857,0.3811,0.293,0.3691,0.08810000000000001,348229,768,positive
BLAZE,ansible/ansible,lightning-ai/lightning,0.37566666666666665,0.4491,0.3154,0.4985,0.13369999999999999,51387,366,positive
BLAZE,lightning-ai/lightning,wagtail/wagtail,0.5348142857142857,0.3079,0.2127,0.3331,0.0952,285999,404,positive
BLAZE,lightning-ai/lightning,localstack/localstack,0.5348142857142857,0.3074,0.3122,0.3618,-0.004799999999999971,571611,472,neutral
BLAZE,prefecthq/prefect,mesonbuild/meson,0.49971666666666664,0.4124,0.318,0.4867,0.09439999999999998,121402,937,positive
BLAZE,localstack/localstack,lightning-ai/lightning,0.3849,0.4845,0.3504,0.5511,0.1341,51387,366,positive
BLAZE,prefecthq/prefect,wagtail/wagtail,0.49971666666666664,0.2864,0.2027,0.3245,0.0837,285999,404,positive
BLAZE,prefecthq/prefect,ansible/ansible,0.49971666666666664,0.2701,0.2926,0.3881,-0.02250000000000002,348229,768,negative
BLAZE,ansible/ansible,prefecthq/prefect,0.37566666666666665,0.3317,0.2531,0.5171,0.0786,107073,404,positive
BLAZE,numpy/numpy,localstack/localstack,0.4409,0.3029,0.274,0.4056,0.02889999999999998,571611,472,positive
BLAZE,numpy/numpy,mesonbuild/meson,0.4409,0.3762,0.3786,0.4965,-0.0024000000000000132,121402,937,neutral
BLAZE,localstack/localstack,numpy/numpy,0.3849,0.4036,0.3956,0.4244,0.008000000000000007,276548,789,neutral
BLAZE,numpy/numpy,qiskit/qiskit,0.4409,0.3959,0.3821,0.453,0.013799999999999979,435173,1336,positive
BLAZE,qiskit/qiskit,numpy/numpy,0.4567666666666667,0.3571,0.3541,0.4506,0.002999999999999947,276548,789,neutral
BLAZE,ipython/ipython,docker/compose,0.4678,0.4122,0.3367,0.4934,0.07550000000000001,34586,572,positive
BLAZE,docker/compose,ipython/ipython,0.505,0.3116,0.2449,0.4726,0.06669999999999998,77778,832,positive
BLAZE,wagtail/wagtail,docker/compose,0.32716666666666666,0.3774,0.3332,0.5001,0.04420000000000002,34586,572,positive
BLAZE,ipython/ipython,qiskit/qiskit,0.4678,0.4337,0.3981,0.4521,0.035599999999999965,435173,1336,positive
BLAZE,scikit-learn/scikit-learn,numpy/numpy,0.51006,0.4283,0.3644,0.429,0.06390000000000001,276548,789,positive
COOBA,jupyterlab/jupyterlab,pydata/xarray,0.23553333333333334,0.1197,0.1664,0.325,-0.04669999999999999,142044,110,negative
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,0.23553333333333334,0.4418,0.3062,0.4046,0.1356,51387,366,positive
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,0.23553333333333334,0.1478,0.1603,0.1778,-0.012500000000000011,107073,404,negative
COOBA,pydata/xarray,jupyterlab/jupyterlab,0.2573,0.1952,0.1379,0.1729,0.05730000000000002,39372,197,positive
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,0.40622857142857144,0.2975,0.2932,0.253,0.0042999999999999705,39372,197,neutral
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,0.19458333333333333,0.2534,0.0798,0.2571,0.17360000000000003,39372,197,positive
COOBA,jupyterlab/jupyterlab,ipython/ipython,0.23553333333333334,0.0356,0.0619,0.0994,-0.026299999999999997,77778,832,negative
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.23553333333333334,0.0307,0.0156,0.0359,0.015100000000000002,376169,228,positive
COOBA,jupyterlab/jupyterlab,numpy/numpy,0.23553333333333334,0.0515,0.0698,0.1083,-0.018300000000000004,276548,789,negative
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.0294,0.1471,0.191,0.2146,-0.043899999999999995,39372,197,negative
COOBA,ipython/ipython,jupyterlab/jupyterlab,0.10186666666666666,0.2449,0.2419,0.2653,0.0030000000000000027,39372,197,neutral
COOBA,jupyterlab/jupyterlab,ansible/ansible,0.23553333333333334,0.0074,0.0041,0.0077,0.0033,348229,768,neutral
COOBA,jupyterlab/jupyterlab,docker/compose,0.23553333333333334,0.4569,0.4046,0.468,0.05229999999999996,34586,572,positive
COOBA,numpy/numpy,jupyterlab/jupyterlab,0.09761428571428572,0.1351,0.1615,0.2459,-0.026400000000000007,39372,197,negative
COOBA,docker/compose,jupyterlab/jupyterlab,0.4584333333333333,0.1922,0.1549,0.2547,0.0373,39372,197,positive
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,0.23553333333333334,0.0703,0.0994,0.0895,-0.0291,121402,937,negative
COOBA,ansible/ansible,jupyterlab/jupyterlab,0.008,0.0893,0.1698,0.1844,-0.0805,39372,197,negative
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,0.23553333333333334,0.0322,0.0162,0.0771,0.016,285999,404,positive
