model_name,source_project,target_project,MRR,MAP,tgt_LoC,src_LoC,tgt_total_unique_bug_reports,src_total_unique_bug_reports,loc_ratio,tgt_bug_report_verbosity,src_bug_report_verbosity,domain_gap,mrr_wps,map_wps,delta_mrr,delta_map,transfer
COOBA,localstack/localstack,lightning-ai/lightning,0.4165016612273669,0.3237678552464799,51387,571611,366,472,11.123649950376338,188.469496,290.4632207,0.9819277108433736,0.3128522471947559,0.2359685707582289,0.10364941403261102,0.08779928448825097,positive
BLAZE,ipython/ipython,jupyterlab/jupyterlab,0.3937,0.2935,39372,77778,197,832,1.975464797317841,194.7014925,134.7788235,0.98460639127046,0.2753,0.2124,0.1184,0.08109999999999998,positive
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,0.0284088787092219,0.0287156611211833,376169,107073,228,404,0.284640680119839,231.8122271,133.6437346,0.985657546337158,0.0200007366710489,0.021177045424084,0.008408142038173,0.0075386156970993,neutral
COOBA,prefecthq/prefect,pydata/xarray,0.2467085313718357,0.2109011414872423,142044,107073,110,404,0.7538016389287774,369.5363636,133.6437346,0.9814995131450828,0.1611918376131896,0.1382855819449038,0.08551669375864612,0.07261555954233848,positive
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,0.1928372203198283,0.1533115860983855,107073,376169,404,228,3.5132012738972147,133.6437346,231.8122271,0.985657546337158,0.1551825477069765,0.1216293858863392,0.0376546726128518,0.03168220021204629,positive
COOBA,pydata/xarray,prefecthq/prefect,0.1421719598066178,0.117660603590643,107073,142044,404,110,1.3266089490347581,133.6437346,369.5363636,0.9814995131450828,0.1552757394277517,0.1289770736338512,-0.013103779621133904,-0.011316470043208196,negative
COOBA,prefecthq/prefect,ansible/ansible,0.0088026094516937,0.0088463157454,348229,107073,768,404,0.3074786993616261,344.621519,133.6437346,0.9923821473382328,0.0097399917689049,0.0096982206795343,-0.0009373823172112005,-0.0008519049341343,neutral
COOBA,ansible/ansible,prefecthq/prefect,0.2128662750365818,0.1677417807797693,107073,348229,404,768,3.2522578054224383,133.6437346,344.621519,0.9923821473382328,0.1729128712521743,0.1414593173939684,0.03995340378440748,0.026282463385800925,positive
COOBA,prefecthq/prefect,wagtail/wagtail,0.0494480656013456,0.0479784954697865,285999,107073,404,404,0.3743824279105858,202.1521739,133.6437346,0.9826755242933436,0.052120431706858,0.0437232558127025,-0.0026723661055124,0.004255239657083999,neutral
COOBA,pydata/xarray,scikit-learn/scikit-learn,0.015655838111915,0.0167705467150602,376169,142044,228,110,0.37760687350632194,231.8122271,369.5363636,0.9828209764918626,0.0165399234385958,0.0175505568925184,-0.0008840853266808002,-0.000780010177458202,neutral
COOBA,scikit-learn/scikit-learn,pydata/xarray,0.2056555152521685,0.1739918978438475,142044,376169,110,228,2.6482568781504137,369.5363636,231.8122271,0.9828209764918626,0.0860697926480409,0.081370083864888,0.11958572260412759,0.0926218139789595,positive
BLAZE,jupyterlab/jupyterlab,mesonbuild/meson,0.372,0.3061,121402,39372,937,197,0.32431096687039485,163.0513627,194.7014925,0.9949976841130151,0.313,0.2542,0.059,0.0519,positive
BLAZE,mesonbuild/meson,jupyterlab/jupyterlab,0.3967,0.2888,39372,121402,197,937,3.0834603271359575,194.7014925,163.0513627,0.9949976841130151,0.0424,0.0418,0.3543,0.247,positive
BLAZE,jupyterlab/jupyterlab,ansible/ansible,0.3346,0.2645,348229,39372,768,197,0.11306353003339724,344.621519,194.7014925,0.9942145642057604,0.3287,0.2696,0.005900000000000016,-0.005099999999999993,neutral
BLAZE,ansible/ansible,jupyterlab/jupyterlab,0.3965,0.2928,39372,348229,197,768,8.844584984252544,194.7014925,344.621519,0.9942145642057604,0.0225,0.0228,0.374,0.27,positive
BLAZE,jupyterlab/jupyterlab,docker/compose,0.4398,0.3519,34586,39372,572,197,1.1383796912045008,200.6197655,194.7014925,0.9967936385789408,0.2031,0.1862,0.23670000000000002,0.1657,positive
BLAZE,docker/compose,jupyterlab/jupyterlab,0.2202,0.1757,39372,34586,197,572,0.8784415320532135,194.7014925,200.6197655,0.9967936385789408,0.0291,0.0298,0.1911,0.1459,positive
COOBA,numpy/numpy,qiskit/qiskit,0.1062136058369676,0.0837457964422536,435173,276548,1336,789,0.6354897937142225,183.5106686,161.5720384,0.9890958655156749,0.1264197789208666,0.1016864698340864,-0.020206173083898993,-0.017940673391832793,negative
BLAZE,jupyterlab/jupyterlab,localstack/localstack,0.2963,0.2066,571611,39372,472,197,0.06887901037593736,290.4632207,194.7014925,0.993688362919132,0.3125,0.1911,-0.016199999999999992,0.015500000000000014,negative
COOBA,numpy/numpy,mesonbuild/meson,0.1023676399104348,0.0929184313777091,121402,276548,937,789,2.2779525872720194,163.0513627,161.5720384,0.9874739039665972,0.0879525259011111,0.0797957286969798,0.014415114009323687,0.013122702680729292,positive
COOBA,qiskit/qiskit,numpy/numpy,0.0999577116339942,0.0958459971305327,276548,435173,789,1336,1.5735893949694029,161.5720384,183.5106686,0.9890958655156749,0.051515451646814,0.0490262035003802,0.04844225998718019,0.0468197936301525,positive
BLAZE,localstack/localstack,jupyterlab/jupyterlab,0.353,0.2731,39372,571611,197,472,14.518210911307161,194.7014925,290.4632207,0.993688362919132,0.2331,0.183,0.11989999999999998,0.09010000000000001,positive
BLAZE,jupyterlab/jupyterlab,wagtail/wagtail,0.258,0.1879,285999,39372,404,197,0.1376648170098492,202.1521739,194.7014925,0.976410916995411,0.1901,0.1432,0.06790000000000002,0.04470000000000002,positive
COOBA,numpy/numpy,localstack/localstack,0.157650823104764,0.1307882012417255,571611,276548,472,789,0.4838045453988805,290.4632207,161.5720384,0.9931328439497988,0.0963085193420423,0.0797917959983017,0.06134230376272169,0.05099640524342379,positive
BLAZE,wagtail/wagtail,jupyterlab/jupyterlab,0.3347,0.2648,39372,285999,197,404,7.264020115818164,194.7014925,202.1521739,0.976410916995411,0.0265,0.0268,0.3082,0.238,positive
COOBA,localstack/localstack,numpy/numpy,0.0567120102410517,0.0510635041366562,276548,571611,789,472,2.0669504028233723,161.5720384,290.4632207,0.9931328439497988,0.0679112619121089,0.0623523844335541,-0.011199251671057203,-0.011288880296897896,negative
COOBA,prefecthq/prefect,numpy/numpy,0.0479400594402927,0.0443942176178606,276548,107073,789,404,0.3871769096142428,161.5720384,133.6437346,0.9915588835942818,0.0464553955673879,0.0475856467419479,0.0014846638729048012,-0.0031914291240872986,neutral
COOBA,numpy/numpy,prefecthq/prefect,0.1853474422668484,0.1320077870126391,107073,276548,404,789,2.582798651387347,133.6437346,161.5720384,0.9915588835942818,0.1379855337110031,0.1125299293928128,0.047361908555845295,0.019477857619826303,positive
COOBA,prefecthq/prefect,mesonbuild/meson,0.0800617798003048,0.0726643891872624,121402,107073,937,404,0.8819706429877524,163.0513627,133.6437346,0.992563212692117,0.1016993655882544,0.0927013344769086,-0.02163758578794961,-0.02003694528964621,negative
COOBA,pydata/xarray,numpy/numpy,0.0629288211265952,0.0584785522223242,276548,142044,789,110,0.513632353153881,161.5720384,369.5363636,0.9810797586038168,0.0512426587502061,0.0449284075924746,0.0116861623763891,0.013550144629849596,positive
COOBA,numpy/numpy,pydata/xarray,0.2354799019454192,0.205418166619637,142044,276548,110,789,1.9469178564388363,369.5363636,161.5720384,0.9810797586038168,0.0916465656192369,0.0787885724165523,0.1438333363261823,0.1266295942030847,positive
COOBA,ipython/ipython,docker/compose,0.3592563292085003,0.3109743008141516,34586,77778,572,832,2.2488290059561025,200.6197655,134.7788235,0.989247311827957,0.3890813559909377,0.338681619075744,-0.02982502678243737,-0.027707318261592395,negative
COOBA,docker/compose,ipython/ipython,0.0497208115852097,0.0421672197871176,77778,34586,832,572,0.4446758723546447,134.7788235,200.6197655,0.989247311827957,0.0475189451449146,0.0395781233412119,0.0022018664402950958,0.0025890964459057003,neutral
COOBA,wagtail/wagtail,docker/compose,0.2050056299478199,0.2002098559944082,34586,285999,572,404,8.269212976348573,200.6197655,202.1521739,0.9937839937839936,0.2792144706879006,0.2624577400090385,-0.07420884074008072,-0.0622478840146303,negative
COOBA,ipython/ipython,qiskit/qiskit,0.1159179136497397,0.0894739366040291,435173,77778,1336,832,0.1787289193033571,183.5106686,134.7788235,0.9866013071895424,0.1005183133250363,0.078274556979472,0.015399600324703402,0.011199379624557096,positive
