project_A,project_B,lang_A,lang_B,num_bugs_A,num_bugs_B,domain_gap_accuracy
apache/hive,square/leakcanary,Java,Kotlin,1238,36,0.9979476397857536
apache/hive,square/okhttp,Java,Kotlin,1238,15,0.997392574050897
apache/hive,thundernest/k-9,Java,Kotlin,1238,146,0.9976864704793633
apache/hive,dmwm/wmcore,Java,Python,1238,263,0.9966325306762617
apache/hive,rucio/rucio,Java,Python,1238,297,0.9976927513939627
apache/hive,iterative/dvc,Java,Python,1238,132,0.9989440868865648
apache/hive,conda/conda,Java,Python,1238,608,0.9977124338750417
apache/hive,dagster-io/dagster,Java,Python,1238,154,0.9976598020861193
apache/hive,django/django,Java,Python,1238,850,0.9978165056002588
apache/hive,googleapis/google-cloud-python,Java,Python,1238,911,0.997601569881532
apache/hive,huggingface/transformers,Java,Python,1238,1049,0.9987530727849229
apache/hive,pandas-dev/pandas,Java,Python,1238,5016,0.9977781113946855
apache/hive,qiskit/qiskit,Java,Python,1238,1356,0.9962486386188536
apache/hive,scipy/scipy,Java,Python,1238,100,0.9981428571428571
apache/hive,sympy/sympy,Java,Python,1238,384,0.99779488066413
apache/hive,matplotlib/matplotlib,Java,Python,1238,184,0.9968626003506506
apache/hive,numpy/numpy,Java,Python,1238,803,0.9980149704313304
apache/hive,open-mmlab/mmdetection,Java,Python,1238,103,0.9988173518141823
apache/hive,pantsbuild/pants,Java,Python,1238,734,0.9975144381899261
apache/hive,pypa/pip,Java,Python,1238,684,0.998248767224296
apache/hive,ray-project/ray,Java,Python,1238,340,0.9956379061949736
apache/hive,scikit-learn/scikit-learn,Java,Python,1238,228,0.9975196555597154
apache/hive,wagtail/wagtail,Java,Python,1238,407,0.9972259617345898
apache/hive,ytdl-org/youtube-dl,Java,Python,1238,309,0.9988104867488223
apache/hive,celery/celery,Java,Python,1238,245,0.9986997351312304
apache/hive,conan-io/conan,Java,Python,1238,858,0.998889826368844
apache/hive,docker/compose,Java,Python,1238,583,0.9992960933179145
apache/hive,google/jax,Java,Python,1238,568,0.9983313038380012
apache/hive,ipython/ipython,Java,Python,1238,843,0.9975845410628019
apache/hive,jupyterlab/jupyterlab,Java,Python,1238,200,0.9964057971014493
apache/hive,lightning-ai/lightning,Java,Python,1238,374,0.998430064269244
apache/hive,mesonbuild/meson,Java,Python,1238,945,0.9981212041770438
apache/hive,prefecthq/prefect,Java,Python,1238,406,0.9970659221049643
apache/hive,pyca/cryptography,Java,Python,1238,337,0.9982228626320845
apache/hive,pydata/xarray,Java,Python,1238,122,0.999196666164583
apache/hive,pytest-dev/pytest,Java,Python,1238,118,0.9986573176189766
apache/hive,sphinx-doc/sphinx,Java,Python,1238,186,0.9975120737596956
apache/hive,eclipse-aspectj/aspectj,Java,Java,1238,269,0.9957855621516292
apache/hive,eclipse-birt/birt,Java,Java,1238,3498,0.9965088994448578
apache/hive,eclipse-jdt/eclipse.jdt.ui,Java,Java,1238,2543,0.9982439097294874
apache/hive,eclipse-platform/eclipse.platform.swt,Java,Java,1238,90,0.9975777349349944
apache/hive,eclipse-platform/eclipse.platform.ui,Java,Java,1238,2063,0.9981933515336439
apache/hive,apache/tomcat,Java,Java,1238,51,0.9942616290879545
wildfly/wildfly,wildfly/wildfly-core,Java,Java,984,360,0.8292541168873103
wildfly/wildfly,apache/commons-math,Java,Java,984,245,0.9961312786124186
wildfly/wildfly,spring-projects/spring-batch,Java,Java,984,432,0.9950902250844864
wildfly/wildfly,spring-projects/spring-roo,Java,Java,984,714,0.991130820399113
wildfly/wildfly,spring-projects/spring-security,Java,Java,984,542,0.9896027405493119
wildfly/wildfly,apache/commons-compress,Java,Java,984,113,0.996485205165931
wildfly/wildfly,apache/commons-configuration,Java,Java,984,133,0.995315973324865
wildfly/wildfly,apache/commons-lang,Java,Java,984,217,0.9931786106319586
wildfly/wildfly,spring-projects/spring-amqp,Java,Java,984,108,0.9954323263081978
wildfly/wildfly,spring-projects/spring-data-commons,Java,Java,984,158,0.9967681990789368
wildfly/wildfly,spring-projects/spring-data-gemfire,Java,Java,984,107,0.9967302017704761
wildfly/wildfly,spring-projects/spring-data-jpa,Java,Java,984,147,0.9954858831254104
wildfly/wildfly,spring-projects/spring-data-mongodb,Java,Java,984,271,0.9976908989569233
wildfly/wildfly,spring-projects/spring-data-rest,Java,Java,984,132,0.996493231120535
wildfly/wildfly,spring-projects/spring-security-oauth,Java,Java,984,101,0.9965122881012247
wildfly/wildfly,spring-projects/spring-webflow,Java,Java,984,134,0.9966003990835859
wildfly/wildfly,spring-projects/spring-ws,Java,Java,984,174,0.9914459368199895
wildfly/wildfly,bitcoin/bitcoin,Java,C++,984,563,0.9983207815998372
wildfly/wildfly,clickhouse/clickhouse,Java,C++,984,1541,0.998310196017262
wildfly/wildfly,electron/electron,Java,C++,984,1451,0.9976987158834629
wildfly/wildfly,godotengine/godot,Java,C++,984,1486,0.9981929311719373
wildfly/wildfly,protocolbuffers/protobuf,Java,C++,984,229,0.9985540775014459
wildfly/wildfly,dagger/dagger,Java,Go,984,399,0.9977124402879634
wildfly/wildfly,nats-io/nats-server,Java,Go,984,298,0.9993991738640631
wildfly/wildfly,nektos/act,Java,Go,984,166,0.9980404964075767
wildfly/wildfly,elastic/elasticsearch,Java,Java,984,970,0.9948378815782131
wildfly/wildfly,apache/dolphinscheduler,Java,Java,984,1369,0.9940333493154334
wildfly/wildfly,apache/dubbo,Java,Java,984,379,0.9927067793800762
wildfly/wildfly,liquibase/liquibase,Java,Java,984,241,0.9938082750582751
wildfly/wildfly,openrefine/openrefine,Java,Java,984,620,0.9937093875293792
wildfly/wildfly,seleniumhq/selenium,Java,Java,984,134,0.9951385784532857
wildfly/wildfly,axios/axios,Java,JavaScript,984,113,0.9993414553836022
wildfly/wildfly,facebook/react,Java,JavaScript,984,483,0.9977801840822956
wildfly/wildfly,fastify/fastify,Java,JavaScript,984,279,0.9990658570761326
wildfly/wildfly,mozilla/pdf.js,Java,JavaScript,984,543,0.9967854455919568
wildfly/wildfly,sveltejs/svelte,Java,JavaScript,984,1107,0.998192294655971
wildfly/wildfly,vercel/next.js,Java,JavaScript,984,1258,0.9984226507354391
wildfly/wildfly,apache/airflow,Java,Python,984,1648,0.9971174872440527
wildfly/wildfly,ccxt/ccxt,Java,Python,984,693,0.9991765480895916
wildfly/wildfly,localstack/localstack,Java,Python,984,472,0.9966117459473824
wildfly/wildfly,posthog/posthog,Java,Python,984,403,0.9974125076747654
wildfly/wildfly,ansible/ansible,Java,Python,984,768,0.9968771019506102
wildfly/wildfly,langchain-ai/langchain,Java,Python,984,130,0.9983975386193192
wildfly/wildfly,odoo/odoo,Java,Python,984,115,0.9964058328198809
wildfly/wildfly,quarkusio/quarkus,Java,Java,984,950,0.9906332325104888
wildfly/wildfly,hannah-sten/texify-idea,Java,Kotlin,984,53,0.9966340040391951
wildfly/wildfly,horizontalsystems/unstoppable-wallet-android,Java,Kotlin,984,15,0.9977357269933689
wildfly/wildfly,intellij-rust/intellij-rust,Java,Kotlin,984,233,0.9991716579584554
wildfly/wildfly,jwstegemann/fritz2,Java,Kotlin,984,12,0.9980798129904825
wildfly/wildfly,square/anvil,Java,Kotlin,984,49,0.9986725296606654
wildfly/wildfly,square/kotlinpoet,Java,Kotlin,984,24,0.9987492704077379
wildfly/wildfly,square/leakcanary,Java,Kotlin,984,36,0.9974212706102993
wildfly/wildfly,square/okhttp,Java,Kotlin,984,15,0.997082360786929
wildfly/wildfly,thundernest/k-9,Java,Kotlin,984,146,0.9951496674057649
wildfly/wildfly,dmwm/wmcore,Java,Python,984,263,0.9971722187737085
wildfly/wildfly,rucio/rucio,Java,Python,984,297,0.9963300058719906
wildfly/wildfly,iterative/dvc,Java,Python,984,132,0.9980327352848599
wildfly/wildfly,conda/conda,Java,Python,984,608,0.9975367673694124
wildfly/wildfly,dagster-io/dagster,Java,Python,984,154,0.9974485307056132
wildfly/wildfly,django/django,Java,Python,984,850,0.9974361896080218
wildfly/wildfly,googleapis/google-cloud-python,Java,Python,984,911,0.9983282525322057
wildfly/wildfly,huggingface/transformers,Java,Python,984,1049,0.9987553853518429
wildfly/wildfly,pandas-dev/pandas,Java,Python,984,5016,0.9983157894736842
wildfly/wildfly,qiskit/qiskit,Java,Python,984,1356,0.9971040826756005
wildfly/wildfly,scipy/scipy,Java,Python,984,100,0.998191027496382
wildfly/wildfly,sympy/sympy,Java,Python,984,384,0.9991848507649862
wildfly/wildfly,matplotlib/matplotlib,Java,Python,984,184,0.9961363322754243
wildfly/wildfly,numpy/numpy,Java,Python,984,803,0.9982942179871772
wildfly/wildfly,open-mmlab/mmdetection,Java,Python,984,103,0.998782147718318
wildfly/wildfly,pantsbuild/pants,Java,Python,984,734,0.9979681847465186
wildfly/wildfly,pypa/pip,Java,Python,984,684,0.9964873613885253
wildfly/wildfly,ray-project/ray,Java,Python,984,340,0.996967654986523
wildfly/wildfly,scikit-learn/scikit-learn,Java,Python,984,228,0.9973216802932056
wildfly/wildfly,wagtail/wagtail,Java,Python,984,407,0.9970576357237639
wildfly/wildfly,ytdl-org/youtube-dl,Java,Python,984,309,0.9994218399942184
wildfly/wildfly,celery/celery,Java,Python,984,245,0.9977916820022084
wildfly/wildfly,conan-io/conan,Java,Python,984,858,0.9983701675467762
wildfly/wildfly,docker/compose,Java,Python,984,583,0.9989771028405068
wildfly/wildfly,google/jax,Java,Python,984,568,0.9987327419462416
wildfly/wildfly,ipython/ipython,Java,Python,984,843,0.9968371112282551
wildfly/wildfly,jupyterlab/jupyterlab,Java,Python,984,200,0.9960417223856646
wildfly/wildfly,lightning-ai/lightning,Java,Python,984,374,0.9981822313110656
