model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR
BLAZE,jupyterlab/jupyterlab,pydata/xarray,WP-large,0.36,0.72,0.84,0.4607,0.5134
BLAZE,jupyterlab/jupyterlab,pydata/xarray,CP-cold-start,0.12,0.24,0.44,0.1569,0.2108
BLAZE,jupyterlab/jupyterlab,pydata/xarray,CP-transfer,0.2,0.64,0.72,0.3067,0.3699
BLAZE,pydata/xarray,jupyterlab/jupyterlab,WP-small,0.1,0.225,0.35,0.1339,0.1684
BLAZE,pydata/xarray,jupyterlab/jupyterlab,WP-large,0.375,0.5,0.65,0.3699,0.4762
BLAZE,pydata/xarray,jupyterlab/jupyterlab,CP-cold-start,0.275,0.475,0.6,0.316,0.3953
BLAZE,pydata/xarray,jupyterlab/jupyterlab,CP-transfer,0.175,0.375,0.45,0.2027,0.2953
BLAZE,jupyterlab/jupyterlab,numpy/numpy,WP-small,0.2733,0.5093,0.6211,0.3438,0.3884
BLAZE,jupyterlab/jupyterlab,numpy/numpy,WP-large,0.3789,0.5714,0.6584,0.4089,0.4681
BLAZE,jupyterlab/jupyterlab,numpy/numpy,CP-cold-start,0.1615,0.3789,0.4845,0.2525,0.2765
BLAZE,jupyterlab/jupyterlab,numpy/numpy,CP-transfer,0.2733,0.5093,0.5963,0.3375,0.388
BLAZE,numpy/numpy,jupyterlab/jupyterlab,WP-small,0.0,0.025,0.025,0.0228,0.023
BLAZE,numpy/numpy,jupyterlab/jupyterlab,WP-large,0.35,0.575,0.75,0.3704,0.4973
BLAZE,numpy/numpy,jupyterlab/jupyterlab,CP-cold-start,0.175,0.45,0.575,0.2646,0.3171
BLAZE,numpy/numpy,jupyterlab/jupyterlab,CP-transfer,0.275,0.425,0.5,0.3202,0.3742
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-small,0.1087,0.3478,0.413,0.2329,0.2365
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-large,0.3261,0.7174,0.7826,0.4744,0.5102
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-cold-start,0.0652,0.1739,0.2609,0.1413,0.1413
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-transfer,0.2609,0.5217,0.6522,0.356,0.3798
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-small,0.1,0.275,0.35,0.1517,0.2005
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-large,0.4,0.65,0.7,0.4121,0.5403
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-cold-start,0.075,0.175,0.2,0.1146,0.1436
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-transfer,0.125,0.325,0.45,0.1976,0.2436
BLAZE,lightning-ai/lightning,prefecthq/prefect,WP-small,0.1098,0.3659,0.4878,0.1837,0.2303
BLAZE,lightning-ai/lightning,prefecthq/prefect,WP-large,0.3902,0.622,0.7073,0.4045,0.5154
BLAZE,lightning-ai/lightning,prefecthq/prefect,CP-cold-start,0.122,0.3171,0.4024,0.1745,0.227
BLAZE,lightning-ai/lightning,prefecthq/prefect,CP-transfer,0.2805,0.5,0.5854,0.3134,0.3811
BLAZE,prefecthq/prefect,lightning-ai/lightning,WP-small,0.1867,0.4533,0.5867,0.2478,0.3217
BLAZE,prefecthq/prefect,lightning-ai/lightning,WP-large,0.4133,0.68,0.76,0.4267,0.5423
BLAZE,prefecthq/prefect,lightning-ai/lightning,CP-cold-start,0.32,0.6533,0.76,0.3468,0.4723
BLAZE,prefecthq/prefect,lightning-ai/lightning,CP-transfer,0.3333,0.7067,0.8267,0.3994,0.4956
BLAZE,lightning-ai/lightning,pydata/xarray,WP-small,0.08,0.2,0.28,0.132,0.1609
BLAZE,lightning-ai/lightning,pydata/xarray,WP-large,0.32,0.72,0.84,0.4214,0.4827
BLAZE,lightning-ai/lightning,pydata/xarray,CP-cold-start,0.12,0.4,0.56,0.247,0.2782
BLAZE,lightning-ai/lightning,pydata/xarray,CP-transfer,0.28,0.52,0.72,0.4035,0.4248
BLAZE,pydata/xarray,lightning-ai/lightning,WP-small,0.12,0.44,0.5733,0.2112,0.2676
BLAZE,pydata/xarray,lightning-ai/lightning,WP-large,0.4267,0.64,0.7733,0.4342,0.5361
BLAZE,pydata/xarray,lightning-ai/lightning,CP-cold-start,0.2667,0.5333,0.68,0.3265,0.4021
BLAZE,pydata/xarray,lightning-ai/lightning,CP-transfer,0.32,0.6533,0.7867,0.3795,0.4747
BLAZE,lightning-ai/lightning,numpy/numpy,WP-small,0.2422,0.5217,0.5901,0.3237,0.3597
BLAZE,lightning-ai/lightning,numpy/numpy,WP-large,0.3416,0.6025,0.6894,0.4074,0.4534
BLAZE,lightning-ai/lightning,numpy/numpy,CP-cold-start,0.1863,0.4224,0.528,0.2687,0.3003
BLAZE,lightning-ai/lightning,numpy/numpy,CP-transfer,0.2981,0.5466,0.6273,0.3623,0.4062
BLAZE,numpy/numpy,lightning-ai/lightning,WP-small,0.24,0.44,0.6133,0.264,0.3531
BLAZE,numpy/numpy,lightning-ai/lightning,WP-large,0.44,0.6533,0.7467,0.4402,0.5428
BLAZE,numpy/numpy,lightning-ai/lightning,CP-cold-start,0.1867,0.4533,0.64,0.2681,0.3318
BLAZE,numpy/numpy,lightning-ai/lightning,CP-transfer,0.32,0.64,0.7067,0.3559,0.4562
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,WP-small,0.1087,0.2826,0.413,0.2096,0.2161
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,WP-large,0.2826,0.6739,0.7826,0.4352,0.464
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,CP-cold-start,0.2609,0.5217,0.6522,0.3695,0.3922
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,CP-transfer,0.3696,0.6304,0.7826,0.4718,0.4991
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,WP-small,0.2133,0.4667,0.6267,0.2751,0.343
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,WP-large,0.4267,0.6667,0.76,0.4277,0.5418
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,CP-cold-start,0.2267,0.52,0.7067,0.2783,0.3682
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,CP-transfer,0.4133,0.7067,0.7867,0.4364,0.5416
BLAZE,prefecthq/prefect,pydata/xarray,WP-small,0.08,0.16,0.2,0.1199,0.143
BLAZE,prefecthq/prefect,pydata/xarray,WP-large,0.32,0.72,0.84,0.442,0.4908
BLAZE,prefecthq/prefect,pydata/xarray,CP-cold-start,0.2,0.36,0.52,0.2373,0.2913
BLAZE,prefecthq/prefect,pydata/xarray,CP-transfer,0.2,0.6,0.76,0.3268,0.3781
BLAZE,pydata/xarray,prefecthq/prefect,WP-small,0.0854,0.3049,0.439,0.1603,0.1998
BLAZE,pydata/xarray,prefecthq/prefect,WP-large,0.3293,0.6463,0.7439,0.3729,0.465
BLAZE,pydata/xarray,prefecthq/prefect,CP-cold-start,0.122,0.4634,0.6585,0.2191,0.2828
BLAZE,pydata/xarray,prefecthq/prefect,CP-transfer,0.3293,0.5732,0.6463,0.3554,0.4516
BLAZE,prefecthq/prefect,numpy/numpy,WP-small,0.323,0.5342,0.6335,0.3664,0.4174
BLAZE,prefecthq/prefect,numpy/numpy,WP-large,0.3106,0.5839,0.6832,0.3863,0.439
BLAZE,prefecthq/prefect,numpy/numpy,CP-cold-start,0.1863,0.3975,0.528,0.2485,0.2837
BLAZE,prefecthq/prefect,numpy/numpy,CP-transfer,0.2919,0.5466,0.6335,0.3622,0.4124
BLAZE,numpy/numpy,prefecthq/prefect,WP-small,0.1463,0.4878,0.5854,0.22,0.2905
BLAZE,numpy/numpy,prefecthq/prefect,WP-large,0.3659,0.6341,0.7195,0.4082,0.4907
BLAZE,numpy/numpy,prefecthq/prefect,CP-cold-start,0.0976,0.2195,0.378,0.1348,0.1704
BLAZE,numpy/numpy,prefecthq/prefect,CP-transfer,0.2683,0.5488,0.6707,0.2991,0.3943
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,WP-small,0.0217,0.1739,0.2609,0.11,0.1121
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,WP-large,0.3913,0.7391,0.8261,0.5023,0.5394
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,CP-cold-start,0.2609,0.5435,0.587,0.3755,0.3967
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,CP-transfer,0.3696,0.6957,0.7174,0.4779,0.5048
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,WP-small,0.1829,0.439,0.5488,0.2309,0.3059
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,WP-large,0.4024,0.622,0.7439,0.407,0.5145
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,CP-cold-start,0.2195,0.4634,0.6098,0.2678,0.3467
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,CP-transfer,0.3293,0.6463,0.6951,0.3774,0.4729
BLAZE,pydata/xarray,numpy/numpy,WP-small,0.2795,0.5155,0.6087,0.3479,0.3838
BLAZE,pydata/xarray,numpy/numpy,WP-large,0.2857,0.5963,0.6708,0.3772,0.4218
BLAZE,pydata/xarray,numpy/numpy,CP-cold-start,0.2422,0.4534,0.5031,0.3163,0.3462
BLAZE,pydata/xarray,numpy/numpy,CP-transfer,0.2981,0.5155,0.6398,0.3589,0.4028
BLAZE,numpy/numpy,pydata/xarray,WP-small,0.08,0.24,0.32,0.1591,0.187
BLAZE,numpy/numpy,pydata/xarray,WP-large,0.32,0.72,0.84,0.4286,0.4787
BLAZE,numpy/numpy,pydata/xarray,CP-cold-start,0.16,0.4,0.64,0.2446,0.293
BLAZE,numpy/numpy,pydata/xarray,CP-transfer,0.36,0.72,0.8,0.4143,0.5023
BLAZE,pydata/xarray,scikit-learn/scikit-learn,WP-small,0.1522,0.3478,0.4348,0.2506,0.2592
BLAZE,pydata/xarray,scikit-learn/scikit-learn,WP-large,0.4348,0.6087,0.7826,0.4897,0.525
BLAZE,pydata/xarray,scikit-learn/scikit-learn,CP-cold-start,0.2826,0.5652,0.6087,0.3832,0.4084
BLAZE,pydata/xarray,scikit-learn/scikit-learn,CP-transfer,0.3478,0.5652,0.7174,0.4417,0.4586
BLAZE,scikit-learn/scikit-learn,pydata/xarray,WP-small,0.16,0.28,0.28,0.1906,0.234
BLAZE,scikit-learn/scikit-learn,pydata/xarray,WP-large,0.4,0.76,0.8,0.4596,0.5214
BLAZE,scikit-learn/scikit-learn,pydata/xarray,CP-cold-start,0.12,0.44,0.72,0.2626,0.2833
BLAZE,scikit-learn/scikit-learn,pydata/xarray,CP-transfer,0.16,0.64,0.8,0.3191,0.3791
BLAZE,numpy/numpy,scikit-learn/scikit-learn,WP-small,0.0435,0.2391,0.3261,0.1423,0.1478
BLAZE,numpy/numpy,scikit-learn/scikit-learn,WP-large,0.3696,0.7174,0.7826,0.4831,0.5117
BLAZE,numpy/numpy,scikit-learn/scikit-learn,CP-cold-start,0.1522,0.5652,0.6522,0.3329,0.3503
BLAZE,numpy/numpy,scikit-learn/scikit-learn,CP-transfer,0.3478,0.6739,0.7609,0.4597,0.4784
BLAZE,scikit-learn/scikit-learn,numpy/numpy,WP-small,0.2547,0.5342,0.6087,0.331,0.3644
BLAZE,scikit-learn/scikit-learn,numpy/numpy,WP-large,0.2857,0.5714,0.7019,0.3811,0.429
BLAZE,scikit-learn/scikit-learn,numpy/numpy,CP-cold-start,0.2981,0.528,0.6149,0.3692,0.4093
BLAZE,scikit-learn/scikit-learn,numpy/numpy,CP-transfer,0.323,0.5404,0.6087,0.3736,0.4283
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,WP-small,0.14666666666666667,0.5066666666666667,0.6,0.24971947945628264,0.3061774811833933
COOBA,jupyterlab/jupyterlab,pydata/xarray,WP-small,0.08,0.24,0.32,0.1454098382701033,0.16638572109479552
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,WP-small,0.08536585365853659,0.24390243902439024,0.34146341463414637,0.11981082429281395,0.16029021296980037
COOBA,jupyterlab/jupyterlab,pydata/xarray,WP-large,0.24,0.44,0.52,0.2685392936233051,0.3249549573007334
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,WP-large,0.28,0.5866666666666667,0.68,0.31061215901738654,0.40458353876351294
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,WP-large,0.08536585365853659,0.2804878048780488,0.35365853658536583,0.13552003276007646,0.17781092204065663
COOBA,jupyterlab/jupyterlab,pydata/xarray,CP-cold-start,0.0,0.0,0.0,0.009639700862031838,0.0079975991137437
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,CP-cold-start,0.0,0.04,0.05333333333333334,0.03434269919951204,0.03980249687340248
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,CP-cold-start,0.0,0.024390243902439025,0.036585365853658534,0.012217962388323197,0.015023430560444423
COOBA,jupyterlab/jupyterlab,pydata/xarray,CP-transfer,0.04,0.08,0.36,0.09006029129863251,0.11970331860163298
COOBA,pydata/xarray,jupyterlab/jupyterlab,WP-small,0.05,0.25,0.425,0.1356550394050394,0.13794670607170606
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,CP-transfer,0.32,0.56,0.6933333333333334,0.3238253995917057,0.44184177211237263
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,WP-small,0.175,0.45,0.5,0.28065476190476185,0.29315476190476186
COOBA,pydata/xarray,jupyterlab/jupyterlab,WP-large,0.025,0.4,0.5,0.17190476190476192,0.17294642857142856
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,CP-transfer,0.08536585365853659,0.2073170731707317,0.2926829268292683,0.12834680540085996,0.14784201680995396
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,WP-small,0.0,0.125,0.3,0.07853220609799556,0.07983180927259874
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,WP-large,0.175,0.375,0.5,0.24490169552669552,0.25304563492063487
COOBA,pydata/xarray,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.025,0.0111771802929024,0.010963293899770724
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,WP-large,0.125,0.475,0.475,0.2566666666666667,0.2570833333333334
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.013832185146379938,0.013147927777339963
COOBA,pydata/xarray,jupyterlab/jupyterlab,CP-transfer,0.05,0.45,0.5,0.18354166666666666,0.19520833333333334
COOBA,jupyterlab/jupyterlab,ipython/ipython,WP-small,0.005917159763313609,0.10059171597633136,0.17751479289940827,0.053824614369435926,0.06191717531139112
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.004175747384475102,0.005082972488681612
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,CP-transfer,0.175,0.475,0.5,0.28023809523809523,0.2975
COOBA,jupyterlab/jupyterlab,numpy/numpy,WP-small,0.024844720496894408,0.08074534161490683,0.16149068322981366,0.06199118609334693,0.06982765690285019
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,CP-transfer,0.125,0.375,0.5,0.2507738095238095,0.25336309523809525
COOBA,jupyterlab/jupyterlab,ipython/ipython,WP-large,0.04142011834319527,0.1301775147928994,0.2485207100591716,0.07994963157361791,0.09938719730392384
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-small,0.0,0.0,0.021739130434782608,0.016947115701297578,0.015568656985630962
COOBA,jupyterlab/jupyterlab,ipython/ipython,CP-cold-start,0.0,0.005917159763313609,0.005917159763313609,0.005326319680979164,0.00491317778331598
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-large,0.0,0.06521739130434782,0.17391304347826086,0.034651207234159175,0.03591893105623083
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0,0.0052818746832279575,0.004870845621131812
COOBA,jupyterlab/jupyterlab,numpy/numpy,WP-large,0.055900621118012424,0.16770186335403728,0.19875776397515527,0.09690110057902153,0.10834786909107079
COOBA,jupyterlab/jupyterlab,ipython/ipython,CP-transfer,0.005917159763313609,0.029585798816568046,0.07692307692307693,0.03492281375282072,0.03564589005281516
COOBA,ipython/ipython,jupyterlab/jupyterlab,WP-small,0.125,0.375,0.475,0.22310267857142857,0.24185267857142856
COOBA,ipython/ipython,jupyterlab/jupyterlab,WP-large,0.175,0.4,0.5,0.2571825396825397,0.2653075396825397
COOBA,jupyterlab/jupyterlab,numpy/numpy,CP-cold-start,0.0,0.006211180124223602,0.006211180124223602,0.0093128401245537,0.008779088936978987
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-transfer,0.0,0.06521739130434782,0.06521739130434782,0.03126479476570797,0.030723647154040735
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-small,0.075,0.3,0.475,0.18772997835497834,0.19101280663780665
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-large,0.1,0.35,0.5,0.20733225108225106,0.21464285714285714
COOBA,jupyterlab/jupyterlab,numpy/numpy,CP-transfer,0.018633540372670808,0.055900621118012424,0.11801242236024845,0.04681606490797944,0.05148276313675703
COOBA,numpy/numpy,jupyterlab/jupyterlab,WP-small,0.025,0.3,0.475,0.1561724386724387,0.1615386002886003
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-cold-start,0.05,0.05,0.05,0.04730877000080963,0.058277378598094697
COOBA,numpy/numpy,jupyterlab/jupyterlab,WP-large,0.125,0.425,0.5,0.23391865079365076,0.24590277777777775
COOBA,ipython/ipython,jupyterlab/jupyterlab,CP-cold-start,0.0,0.05,0.05,0.018433999368503748,0.01646991123367589
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-transfer,0.05,0.25,0.425,0.13899223325693916,0.14713617265087853
COOBA,jupyterlab/jupyterlab,ansible/ansible,WP-small,0.0,0.006493506493506494,0.012987012987012988,0.004084087681848248,0.0040775263146155235
COOBA,numpy/numpy,jupyterlab/jupyterlab,CP-cold-start,0.025,0.1,0.2,0.0654492049857762,0.06619052929327697
COOBA,jupyterlab/jupyterlab,ansible/ansible,WP-large,0.0,0.012987012987012988,0.01948051948051948,0.007712781218940494,0.007657625271071363
COOBA,jupyterlab/jupyterlab,ansible/ansible,CP-cold-start,0.0,0.006493506493506494,0.006493506493506494,0.0018930692779716859,0.002676040728598779
COOBA,ipython/ipython,jupyterlab/jupyterlab,CP-transfer,0.125,0.45,0.5,0.2333838383838384,0.2448611111111111
COOBA,jupyterlab/jupyterlab,docker/compose,WP-small,0.21367521367521367,0.6666666666666666,0.8376068376068376,0.34352113924834315,0.4045885881621875
COOBA,jupyterlab/jupyterlab,ansible/ansible,CP-transfer,0.0,0.012987012987012988,0.01948051948051948,0.007341390008765492,0.0074124201986057
COOBA,ansible/ansible,jupyterlab/jupyterlab,WP-small,0.05,0.3,0.475,0.16819534632034633,0.16976280663780666
COOBA,jupyterlab/jupyterlab,docker/compose,WP-large,0.28205128205128205,0.7264957264957265,0.8717948717948718,0.4137708368976752,0.4679870151678916
COOBA,ansible/ansible,jupyterlab/jupyterlab,WP-large,0.05,0.4,0.5,0.17410714285714285,0.1844047619047619
COOBA,jupyterlab/jupyterlab,docker/compose,CP-cold-start,0.008547008547008548,0.02564102564102564,0.02564102564102564,0.016988628290103055,0.02114859884390985
COOBA,jupyterlab/jupyterlab,docker/compose,CP-transfer,0.26495726495726496,0.7350427350427351,0.8205128205128205,0.3956535926268443,0.4569226939255518
COOBA,numpy/numpy,jupyterlab/jupyterlab,CP-transfer,0.025,0.275,0.5,0.13447420634920634,0.13508928571428572
COOBA,docker/compose,jupyterlab/jupyterlab,WP-small,0.05,0.2,0.475,0.15002823565323564,0.1549389499389499
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,WP-small,0.0582010582010582,0.15873015873015872,0.18518518518518517,0.09201516686225215,0.09938374513456008
COOBA,docker/compose,jupyterlab/jupyterlab,WP-large,0.15,0.475,0.475,0.2465457459207459,0.2546707459207459
COOBA,ansible/ansible,jupyterlab/jupyterlab,CP-cold-start,0.025,0.1,0.15,0.04400828165648324,0.057274643730835004
COOBA,docker/compose,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.004984292210347885,0.006560531777247946
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,WP-large,0.042328042328042326,0.13227513227513227,0.20634920634920634,0.08441142467327535,0.0894901397269549
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,CP-cold-start,0.0,0.0,0.0,0.0012834470579104694,0.0010007080131026799
COOBA,docker/compose,jupyterlab/jupyterlab,CP-transfer,0.05,0.4,0.5,0.17551587301587301,0.19218253968253968
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,CP-transfer,0.026455026455026454,0.1164021164021164,0.19047619047619047,0.0680059379729935,0.0702570201109014
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,WP-small,0.058823529411764705,0.1801470588235294,0.24632352941176472,0.09605195720085202,0.11724683197589358
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,WP-small,0.15,0.375,0.5,0.23825396825396825,0.2424206349206349
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,WP-large,0.075,0.2,0.425,0.1308264998889999,0.14295943639693637
COOBA,ansible/ansible,jupyterlab/jupyterlab,CP-transfer,0.025,0.075,0.3,0.08167919906890495,0.08926758290728878
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,WP-small,0.0,0.024390243902439025,0.08536585365853659,0.01611954856356583,0.01621452734257612
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,WP-large,0.06097560975609756,0.0975609756097561,0.10975609756097561,0.06406823745400146,0.07707274233163877
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,CP-cold-start,0.0,0.0,0.036585365853658534,0.006627148026248441,0.007538610543775077
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,CP-transfer,0.0,0.07317073170731707,0.0975609756097561,0.026413914370981548,0.032238459372605714
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.025,0.010894567854162259,0.010879599467036505
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,WP-small,0.0,0.175,0.45,0.11443885975135974,0.11196275946275946
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,WP-large,0.15,0.4,0.475,0.24042748917748918,0.25146915584415586
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,WP-large,0.08823529411764706,0.20955882352941177,0.25,0.11026930002021242,0.14083684889307999
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,CP-cold-start,0.05,0.225,0.45,0.1237692168942169,0.13418588356088354
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,CP-cold-start,0.007352941176470588,0.01838235294117647,0.058823529411764705,0.021860446350369832,0.023842497104876056
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,CP-transfer,0.2,0.4,0.475,0.2997603785103785,0.29906593406593407
COOBA,lightning-ai/lightning,pydata/xarray,WP-small,0.0,0.08,0.2,0.0761087470583503,0.0856816824445615
COOBA,lightning-ai/lightning,pydata/xarray,WP-large,0.08,0.2,0.44,0.1648109266020483,0.1817592938107644
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,CP-transfer,0.04044117647058824,0.15441176470588236,0.21323529411764705,0.07647098428832887,0.09377227438183881
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,WP-small,0.05,0.35,0.5,0.17297619047619048,0.17735119047619047
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,WP-large,0.225,0.45,0.5,0.2856944444444444,0.3077777777777778
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,CP-transfer,0.0,0.2,0.425,0.0935351800976801,0.09077228327228327
COOBA,jupyterlab/jupyterlab,localstack/localstack,WP-small,0.06315789473684211,0.18947368421052632,0.30526315789473685,0.10762053374867801,0.14141261375963898
COOBA,lightning-ai/lightning,pydata/xarray,CP-cold-start,0.0,0.08,0.08,0.02408329935397973,0.0279416016725523
COOBA,jupyterlab/jupyterlab,localstack/localstack,WP-large,0.10526315789473684,0.22105263157894736,0.3263157894736842,0.13798587716245744,0.17876321264681122
COOBA,jupyterlab/jupyterlab,localstack/localstack,CP-cold-start,0.0,0.010526315789473684,0.042105263157894736,0.025944364249808866,0.028992457217664185
COOBA,jupyterlab/jupyterlab,localstack/localstack,CP-transfer,0.09473684210526316,0.23157894736842105,0.3157894736842105,0.12961238876404693,0.16946581891724408
COOBA,localstack/localstack,jupyterlab/jupyterlab,WP-small,0.05,0.375,0.475,0.20806421864520455,0.20723088531187123
COOBA,lightning-ai/lightning,pydata/xarray,CP-transfer,0.0,0.2,0.44,0.10156900090509893,0.10296198134825518
COOBA,pydata/xarray,lightning-ai/lightning,WP-small,0.013333333333333334,0.3466666666666667,0.48,0.1258556147665379,0.15039178894619687
COOBA,localstack/localstack,jupyterlab/jupyterlab,WP-large,0.15,0.475,0.5,0.2625,0.27625
COOBA,pydata/xarray,lightning-ai/lightning,WP-large,0.26666666666666666,0.49333333333333335,0.6933333333333334,0.32732358278741086,0.4053220463249657
COOBA,pydata/xarray,lightning-ai/lightning,CP-cold-start,0.0,0.013333333333333334,0.09333333333333334,0.03181310592608849,0.03791891956537477
COOBA,localstack/localstack,jupyterlab/jupyterlab,CP-cold-start,0.025,0.075,0.075,0.039375502640902615,0.041546347181680376
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0021091347908590557,0.0019825113411594173
