source_project,target_project,scenario,best_epoch,wall_time_sec,ref_top1,ref_top5,ref_top10,ref_MAP,ref_MRR,full_top1,full_top5,full_top10,full_MAP,full_MRR,res_top1,res_top5,res_top10,res_MAP,res_MRR,n_test,n_gt_files,n_gt_files_in_top300
jupyterlab/jupyterlab,ipython/ipython,CP-transfer,10,2202.9,0.2722,0.5385,0.6272,0.3403,0.3918,0.2367,0.5207,0.6154,0.3152,0.3644,0.1657,0.4083,0.4734,0.2511,0.2782,169,362,206
jupyterlab/jupyterlab,lightning-ai/lightning,CP-transfer,9,1137.5,0.32,0.6533,0.76,0.3599,0.4706,0.3733,0.56,0.6933,0.3566,0.4737,0.3733,0.5733,0.6933,0.3573,0.4741,75,216,214
jupyterlab/jupyterlab,localstack/localstack,CP-transfer,9,2611.8,0.1789,0.4316,0.5474,0.2066,0.2963,0.1684,0.3895,0.4842,0.1955,0.2809,0.1158,0.2632,0.3579,0.1623,0.2005,95,335,199
jupyterlab/jupyterlab,mesonbuild/meson,CP-transfer,8,2750.7,0.254,0.4921,0.6138,0.3045,0.37,0.3016,0.5556,0.6878,0.3515,0.423,0.1958,0.3175,0.3598,0.2341,0.2534,189,444,137
jupyterlab/jupyterlab,numpy/numpy,CP-transfer,5,8799.3,0.2733,0.5093,0.5963,0.3375,0.388,0.2857,0.5031,0.5963,0.3546,0.3913,0.2671,0.4658,0.5528,0.3378,0.3645,161,369,195
jupyterlab/jupyterlab,prefecthq/prefect,CP-transfer,10,1303.7,0.2683,0.5976,0.6585,0.3228,0.4082,0.2317,0.5732,0.6585,0.2966,0.3817,0.1585,0.439,0.5122,0.2318,0.2811,82,281,141
jupyterlab/jupyterlab,pydata/xarray,CP-transfer,10,1093.8,0.2,0.64,0.72,0.3067,0.3699,0.12,0.52,0.68,0.2797,0.3281,0.12,0.52,0.68,0.2798,0.3281,25,37,37
jupyterlab/jupyterlab,wagtail/wagtail,CP-transfer,9,5376.8,0.1463,0.3902,0.4756,0.1856,0.2548,0.1463,0.439,0.5,0.2031,0.2703,0.1098,0.1829,0.2195,0.1291,0.1508,82,153,38
lightning-ai/lightning,ansible/ansible,CP-transfer,8,5248.3,0.2792,0.4935,0.5974,0.2984,0.3811,0.2468,0.461,0.5455,0.2698,0.344,0.0974,0.1558,0.1883,0.1155,0.1294,154,318,56
lightning-ai/lightning,ipython/ipython,CP-transfer,8,2442.5,0.2604,0.4911,0.5858,0.3172,0.376,0.2663,0.5148,0.6213,0.3342,0.3904,0.2249,0.426,0.5148,0.2949,0.3211,169,362,206
lightning-ai/lightning,jupyterlab/jupyterlab,CP-transfer,9,2464.1,0.25,0.525,0.6,0.2795,0.3739,0.275,0.525,0.575,0.2434,0.3694,0.125,0.175,0.2,0.1202,0.1497,40,89,17
lightning-ai/lightning,localstack/localstack,CP-transfer,7,2845.5,0.2,0.4421,0.4947,0.2158,0.3074,0.2105,0.4211,0.4842,0.2017,0.3065,0.1368,0.2947,0.3684,0.1682,0.2149,95,335,199
lightning-ai/lightning,numpy/numpy,CP-transfer,7,7613.6,0.2981,0.5466,0.6273,0.3623,0.4062,0.2671,0.4907,0.5963,0.3409,0.3764,0.2422,0.4783,0.5404,0.3282,0.3466,161,369,195
lightning-ai/lightning,prefecthq/prefect,CP-transfer,9,1536.0,0.2805,0.5,0.5854,0.3134,0.3811,0.2805,0.5244,0.6707,0.3117,0.4057,0.2073,0.3902,0.4878,0.2497,0.2957,82,281,141
lightning-ai/lightning,pydata/xarray,CP-transfer,9,1117.5,0.28,0.52,0.72,0.4035,0.4248,0.4,0.72,0.76,0.4436,0.5453,0.4,0.72,0.76,0.4436,0.5453,25,37,37
lightning-ai/lightning,scikit-learn/scikit-learn,CP-transfer,6,2032.5,0.3696,0.6304,0.7826,0.4718,0.4991,0.3261,0.6957,0.8043,0.4684,0.4882,0.2609,0.5,0.5217,0.3446,0.3558,46,56,32
lightning-ai/lightning,wagtail/wagtail,CP-transfer,10,5442.9,0.2195,0.3902,0.5244,0.2582,0.3079,0.2073,0.4512,0.5488,0.2497,0.3205,0.1341,0.1829,0.2073,0.1407,0.1596,82,153,38
localstack/localstack,jupyterlab/jupyterlab,CP-transfer,8,2636.5,0.225,0.475,0.525,0.2595,0.3354,0.15,0.375,0.5,0.1955,0.2641,0.1,0.175,0.225,0.1145,0.1338,40,89,17
localstack/localstack,lightning-ai/lightning,CP-transfer,10,1549.8,0.3333,0.6533,0.7867,0.3634,0.4845,0.32,0.6133,0.7467,0.3702,0.453,0.32,0.6133,0.7467,0.3705,0.4535,75,216,214
localstack/localstack,numpy/numpy,CP-transfer,10,7795.4,0.2857,0.528,0.6273,0.3593,0.4036,0.2547,0.4783,0.559,0.3188,0.3672,0.2795,0.4534,0.5404,0.3424,0.3685,161,369,195
mesonbuild/meson,jupyterlab/jupyterlab,CP-transfer,10,2939.7,0.3,0.425,0.5,0.2743,0.3769,0.225,0.475,0.6,0.2427,0.3356,0.125,0.2,0.25,0.1243,0.1569,40,89,17
numpy/numpy,jupyterlab/jupyterlab,CP-transfer,10,2652.4,0.275,0.425,0.5,0.3042,0.3555,0.275,0.5,0.575,0.3139,0.3864,0.175,0.225,0.225,0.1738,0.1978,40,89,17
numpy/numpy,lightning-ai/lightning,CP-transfer,10,1569.7,0.32,0.64,0.7067,0.3559,0.4562,0.36,0.64,0.7867,0.3795,0.4896,0.36,0.64,0.7867,0.3799,0.4896,75,216,214
numpy/numpy,localstack/localstack,CP-transfer,9,3040.6,0.1789,0.4,0.5158,0.193,0.3029,0.1579,0.4,0.4737,0.1884,0.2787,0.1474,0.3263,0.4,0.192,0.2349,95,335,199
numpy/numpy,mesonbuild/meson,CP-transfer,10,2757.8,0.2593,0.5079,0.6614,0.3194,0.3762,0.2222,0.5185,0.6296,0.3032,0.3544,0.1587,0.3122,0.3545,0.2142,0.2289,189,444,137
numpy/numpy,prefecthq/prefect,CP-transfer,10,1735.6,0.2683,0.5488,0.6707,0.2991,0.3943,0.2073,0.4756,0.6098,0.2716,0.3379,0.1707,0.3902,0.4756,0.2324,0.2704,82,281,141
numpy/numpy,pydata/xarray,CP-transfer,10,1313.7,0.36,0.72,0.8,0.4143,0.5023,0.36,0.6,0.88,0.4105,0.5034,0.36,0.6,0.88,0.4105,0.5034,25,37,37
numpy/numpy,qiskit/qiskit,CP-transfer,10,4582.6,0.2794,0.5294,0.636,0.3323,0.3959,0.239,0.5221,0.6581,0.3141,0.3776,0.1875,0.3934,0.4375,0.2502,0.2785,272,1240,536
numpy/numpy,scikit-learn/scikit-learn,CP-transfer,10,2271.9,0.3478,0.6739,0.7609,0.4597,0.4784,0.3261,0.6739,0.7391,0.4376,0.4741,0.2391,0.5,0.5217,0.3342,0.341,46,56,32
prefecthq/prefect,ansible/ansible,CP-transfer,7,5248.5,0.1948,0.3571,0.4221,0.214,0.2701,0.1818,0.3831,0.4935,0.2244,0.2805,0.0974,0.1494,0.1623,0.1108,0.1222,154,318,56
prefecthq/prefect,jupyterlab/jupyterlab,CP-transfer,8,2468.8,0.375,0.525,0.65,0.3635,0.4534,0.375,0.625,0.725,0.3735,0.4803,0.175,0.25,0.25,0.1779,0.2033,40,89,17
prefecthq/prefect,lightning-ai/lightning,CP-transfer,10,1385.1,0.3333,0.7067,0.8267,0.3994,0.4956,0.4,0.7467,0.84,0.4059,0.5351,0.4,0.7467,0.84,0.4071,0.5359,75,216,214
prefecthq/prefect,mesonbuild/meson,CP-transfer,10,2570.3,0.2963,0.5767,0.6772,0.3395,0.4124,0.2593,0.5767,0.672,0.3172,0.3892,0.1905,0.3069,0.3439,0.2184,0.2465,189,444,137
prefecthq/prefect,numpy/numpy,CP-transfer,10,7619.1,0.2919,0.5466,0.6335,0.3622,0.4124,0.3354,0.5155,0.6398,0.3794,0.4327,0.2857,0.4783,0.5714,0.3563,0.3823,161,369,195
prefecthq/prefect,pydata/xarray,CP-transfer,10,1132.0,0.2,0.6,0.76,0.3268,0.3781,0.28,0.56,0.76,0.3551,0.4217,0.28,0.56,0.76,0.3551,0.4218,25,37,37
prefecthq/prefect,scikit-learn/scikit-learn,CP-transfer,6,2043.4,0.3696,0.6957,0.7174,0.4779,0.5048,0.3261,0.6522,0.7826,0.4365,0.4539,0.1739,0.4565,0.5217,0.2857,0.2895,46,56,32
prefecthq/prefect,wagtail/wagtail,CP-transfer,9,7028.6,0.1829,0.4024,0.5488,0.2282,0.2864,0.2073,0.3902,0.5244,0.2253,0.2977,0.1463,0.1951,0.2195,0.1528,0.1692,82,153,38
pydata/xarray,jupyterlab/jupyterlab,CP-transfer,9,4547.9,0.175,0.375,0.45,0.1926,0.2805,0.225,0.375,0.475,0.2563,0.3018,0.1,0.175,0.175,0.1123,0.1275,40,89,17
pydata/xarray,lightning-ai/lightning,CP-transfer,10,2065.0,0.32,0.6533,0.7867,0.3795,0.4747,0.3867,0.7067,0.7867,0.4164,0.5298,0.3867,0.7067,0.7867,0.4154,0.5288,75,216,214
pydata/xarray,numpy/numpy,CP-transfer,10,15110.5,0.2981,0.5155,0.6398,0.3589,0.4028,0.323,0.5031,0.6149,0.3707,0.4182,0.3106,0.4907,0.5776,0.3622,0.3975,161,369,195
pydata/xarray,prefecthq/prefect,CP-transfer,10,2658.4,0.3293,0.5732,0.6463,0.3554,0.4516,0.2805,0.5732,0.6707,0.3187,0.4144,0.1951,0.4268,0.5366,0.2601,0.3099,82,281,141
pydata/xarray,scikit-learn/scikit-learn,CP-transfer,10,3523.7,0.3478,0.5652,0.7174,0.4417,0.4586,0.3478,0.6087,0.7174,0.4442,0.457,0.2609,0.4348,0.4348,0.3283,0.3359,46,56,32
qiskit/qiskit,jupyterlab/jupyterlab,CP-transfer,9,8541.2,0.275,0.425,0.55,0.2766,0.3564,0.225,0.4,0.4,0.2239,0.3021,0.1,0.175,0.175,0.1081,0.1366,40,89,17
qiskit/qiskit,numpy/numpy,CP-transfer,10,19011.3,0.2484,0.441,0.5528,0.3195,0.3571,0.205,0.4845,0.5776,0.3156,0.3427,0.1988,0.4845,0.5839,0.3113,0.3305,161,369,195
scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-transfer,8,4333.6,0.125,0.325,0.45,0.1877,0.2314,0.2,0.4,0.45,0.2268,0.2772,0.1,0.225,0.25,0.121,0.1495,40,89,17
scikit-learn/scikit-learn,lightning-ai/lightning,CP-transfer,10,2421.5,0.4133,0.7067,0.7867,0.4364,0.5416,0.3867,0.64,0.7867,0.3914,0.5098,0.3867,0.64,0.7867,0.3903,0.5084,75,216,214
scikit-learn/scikit-learn,numpy/numpy,CP-transfer,9,15180.7,0.323,0.5404,0.6087,0.3736,0.4283,0.3354,0.5342,0.646,0.3868,0.4332,0.3043,0.4845,0.5776,0.3681,0.3945,161,369,195
scikit-learn/scikit-learn,prefecthq/prefect,CP-transfer,10,3058.7,0.3293,0.6463,0.6951,0.3774,0.4729,0.378,0.5488,0.6098,0.3661,0.464,0.2805,0.4512,0.5122,0.3032,0.3565,82,281,141
scikit-learn/scikit-learn,pydata/xarray,CP-transfer,10,2131.0,0.16,0.64,0.8,0.3191,0.3791,0.2,0.52,0.76,0.2923,0.3442,0.2,0.52,0.76,0.2928,0.3448,25,37,37
wagtail/wagtail,docker/compose,CP-transfer,10,2130.0,0.2564,0.5043,0.6325,0.3159,0.3774,0.3333,0.5641,0.6838,0.3691,0.4486,0.3333,0.5726,0.6923,0.3752,0.4529,117,259,259
wagtail/wagtail,jupyterlab/jupyterlab,CP-transfer,10,5105.1,0.2,0.5,0.5,0.2516,0.3179,0.175,0.425,0.5,0.2293,0.2823,0.125,0.225,0.225,0.1361,0.1615,40,89,17
jupyterlab/jupyterlab,qiskit/qiskit,CP-transfer,9,8556.8,0.2574,0.5478,0.636,0.324,0.3944,0.2426,0.489,0.6176,0.3006,0.3589,0.1949,0.3493,0.4228,0.2423,0.269,272,1240,536
jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-transfer,9,3754.1,0.2609,0.5217,0.6522,0.356,0.3798,0.3696,0.5435,0.6739,0.447,0.4656,0.2174,0.413,0.4565,0.291,0.2982,46,56,32
